book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787510877339,令子驰风尘,https://img3.doubanio.com/view/subject/l/public/s30024250.jpg,许贤旺,,文学,九州出版社,《令子驰风尘》以陈有成这一人物为中心，以片段式结构点滴记录有成不断成长的过程。有成生于一个贫苦家庭，家庭不仅不能给予他优越的物质条件，连正常的父母关爱也是缺乏的——母亲二娇患有精神病，父亲志成为家中生计常年在外打工。但有成不觉得自己有缺少什么，反而积极寻找精神上的富有。在成长路上他也结识了不少好友，其中亦有“不打不相识”的，他们都让有成的生命更加完整和精彩。成长路上酸甜苦辣，有成享受春风的沐浴，也经历一些磕磕绊绊，但始终保持着积极进取、乐观向上。可有些意外是始料不及的。在一次出行中，有成为救学生，不幸“失忆”，在这之后，生活轨迹发生了重大变化。但生活最终复归于宁静与自然，有成对生活与身边的人也更加珍惜。在小说的结尾，有成道出了一个不为人知的“谎言”，而这“谎言”却是一片用心良苦……小说题材回归苦难，娓娓道来中阅人生酸甜苦辣，是一部“有味道”的小说。...,2021-12-15 21:40:39,2021-12-15 21:40:39
9787532167289,人猿泰山之落难军团,https://img1.doubanio.com/view/subject/l/public/s33470318.jpg,[美]埃德加·赖斯·巴勒斯,,文学,上海文艺出版社,,2021-12-15 21:40:40,2021-12-15 21:40:40
9787506371049,余华长篇小说,https://img1.doubanio.com/view/subject/l/public/s28329547.jpg,余华,,文学,作家出版社,,2021-12-15 21:40:40,2021-12-15 21:40:40
9787559830401,平如美棠：我俩的故事,https://img2.doubanio.com/view/subject/l/public/s33910901.jpg,饶平如,,文学,广西师范大学出版社,“海并不深，怀念一个人比海还要深。”这是饶平如一生的故事。饶平如87岁时，他患有老年痴呆症的妻子毛美棠去世。他们一生坎坷，曾被命运长久分离，到了暮年才有一个安定的居所，但是老病相催，美棠身患重病渐渐失去记忆，在平如的悉心照料下还是先走一步。那之后的半年，平如无以排遣，每日睡前醒后，都是难过，只好流连旧地，聊以安慰。后来他一笔一笔，画下了他俩的故事，构建和存留下20世纪一个普通中国家庭的记忆，也刻画了飘摇风雨中，中国人美好的精神世界。2020年4月，饶平如在上海去世，与美棠天上重逢。《平如美棠》纪念修订版按平如手稿做了内容修订，朱赢椿重新设计封面，以纪念这段“一见钟情，一生眷恋”的爱情。,2021-12-15 21:40:43,2021-12-15 21:40:43
9787532720576,孤独鸽,https://img1.doubanio.com/view/subject/l/public/s9145028.jpg,（美）拉里·麦克默特里,吴岩,文学,上海译文出版社,"拉里·麦克默特（1936- ）是战后美国西部小说的主要代言人之一，他的作品充分显示了后现代语境下的美国西部小说的""后西部""(post-western)特征。1985年出版的《孤独鸽》是一部代表美国西部的伟大作品，小说也因此获得了当年的普利策奖和美国西部作家协会颁发的“马刺”奖。随后出版的续集《拉雷多大街》(1993)，《死亡沙漠》(1995)，和《科曼切月亮》(1997)同之前的《孤独鸽》一起构成了西部的“新历史四部曲”。",2021-12-15 21:40:44,2021-12-15 21:40:44
9787564425173,助张继科成就大满贯,https://img2.doubanio.com/view/subject/l/public/s29559291.jpg,肖战,,文学,北京体育大学出版社,《助张继科成就大满贯》以作者肖战、黄文文20多年的执教生涯为大背景，分别介绍了他几十年如一日，在事业上呕心沥血的付出和他与运动员浴血奋战的经历。除此之外，《助张继科成就大满贯》为从事乒乓球事业的教练员、运动员和爱好者提供了最鲜活的实例和重要的科学指导方法。此书汇集了作者多年来的心血，其思想性、技术性、知识性、趣味性与可读性皆备，相信一定可以使广大读者从中汲取教益，在了解作者乒乓人生的同时，也进一步提高对乒乓球的理解与感悟。,2021-12-15 21:40:46,2021-12-15 21:40:46
9787507208740,李白诗歌全集,https://img2.doubanio.com/view/subject/l/public/s1063163.jpg,李白,=\[56465645645,文学,今日中国出版社,,2021-12-15 21:40:47,2021-12-15 21:40:47
9787534602764,世界童话名著精选,https://img2.doubanio.com/view/subject/l/public/s4705183.jpg,,,文学,江苏少年儿童出版社,,2021-12-15 21:40:48,2021-12-15 21:40:48
9787227066965,成为海子果的爸爸,https://img1.doubanio.com/view/subject/l/public/s29595659.jpg,海海,,文学,黄河出版传媒集团宁夏人民出版社,这是一本写给女儿的书。“很多人见过花开，却无意花开是树在多么长久里守护着的梦想，那殷红的一片不是颜色，而是每一丝阳光在春天里一笔笔图画的最灿烂的想象。”,2021-12-15 21:40:49,2021-12-15 21:40:49
9787303134397,珍爱生命,https://img1.doubanio.com/view/subject/l/public/s33520418.jpg,刘文利编,,文学,北京师范大学出版社,《珍爱生命—小学生性健康教育读本》（二年级上册）共分三个单元：（1）家庭与朋友；（2）生活与技能；（3）性别与权利。在“家庭与朋友”单元，有“家庭是爱的港湾”和“友谊是常青藤”2个主题：家庭是人一生成长的最重要场所。“家庭是爱的港湾”在帮助儿童了解家庭有不同的类型，知道家庭中的每个成员都很重要的基础上，让儿童理解家庭有幸福和温暖，也会有忧愁和矛盾。同时，帮助儿童提高与父母或其他家庭成员交流的能力，主动分担家务，参与家庭事务，自愿为家庭做力所能及的贡献。朋友是在家庭以外能获得陪伴和支持的宝贵资源。“友谊是常青藤”让儿童明白朋友之间需要信任、真诚和温暖，并学会如何在友谊中建立信任、付出真诚和体验温暖，从而提高与朋友建立友谊的能力。在“生活与技能”单元，有“学会交流”和“正确对待同伴影响”2个主题：有效的沟通和交流，在建立和维持良好的人际关系中有...,2021-12-15 21:40:50,2021-12-15 21:40:50
