book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9781491973899,The Manager's Path,https://img9.doubanio.com/view/subject/l/public/s29478934.jpg,CamilleFournier,,互联网,O′Reilly,"Managing people is difficult wherever you work. But in the tech industry, where management is also a technical discipline, the learning curve can be brutal—especially when there are few tools, texts, and frameworks to help you. In this practical guide, author Camille Fournier (tech lead turned CTO) takes you through each stage in the journey from engineer to technical manager....",2021-12-20 19:28:11,2021-12-20 19:28:11
9787115424310,浪潮之巅（第三版）（上下册）,https://img1.doubanio.com/view/subject/l/public/s28718398.jpg,[美国]吴军,,互联网,人民邮电出版社,一个企业的发展与崛起，绝非只是空有领导强人即可达成。任何的决策、同期的商业环境，都在都影响着企业的兴衰。《浪潮之巅》不只是一本历史书，除了讲述科技顶尖企业的发展规律，对于华尔街如何左右科技公司，以及金融风暴对科技产业的冲击，也多有着墨。此外，这本书也着力讲述很多尚在普及 或将要发生的，比如微博和云计算，以及对下一代互联网科技产业浪潮的判断和预测。因为在极度商业化的今天，科技的进步和商机是分不开的。,2021-12-20 19:28:14,2021-12-20 19:28:14
9787111611134,掘金大数据,https://img9.doubanio.com/view/subject/l/public/s29950985.jpg,程新洲,,互联网,机械工业出版社,在数据横向融合的时代，充分挖掘数据金矿及盘活数据资产，是企业发展和转型的关键所在。电信运营商以其数据特殊性，必将成为大数据领域的领航者、生力军。各行业的大数据从业者要如何从电信业的大数据中挖掘价值呢？本书彻底揭开电信运营商数据的神秘面纱，系统介绍了大数据的发展历程，主要的数据挖掘方法，电信运营商在网络运行及业务运营方面的数据资源特征，基于用户、业务、网络、终端及内在联系的电信运营商大数据分析体系，以及该分析体系在企业内部及外部行业的应用实践。本书特别列举了一系列电信大数据在企业运营以及多个行业应用的案例，为各行业的大数据应用推进提供参考，同时对于大数据推进过程中的各种风险与挑战提出应对措施。对于从事电信运营商大数据分析工作的读者，本书是一本难得的实务指南；对于从事电信运营商运营工作的管理人员，本书提供了运营和决策的辅助参考手段；对于其他行业的大数...,2021-12-20 19:28:15,2021-12-20 19:28:15
9787115301666,浪潮之巅（下册）,https://img2.doubanio.com/view/subject/l/public/s28066582.jpg,[美国]吴军,,互联网,人民邮电出版社,《浪潮之巅(第2版)(下册)》不是一本科技产业发展历史集，而是在这个数字时代，一本IT人非读不可，而非IT人也应该阅读的作品。一个企业的发展与崛起，绝非只是空有领导强人即可达成。任何的决策、同期的商业环境，都在都影响着企业的兴衰。《浪潮之巅》不只是一本历史书，除了讲述科技顶尖企业的发展规律，对于华尔街如何左右科技公司，以及金融风暴对科技产业的冲击，也多有着墨。此外，《浪潮之巅》也着力讲述很多尚在普及或将要发生的，比如微博和云计算，以及对下一代互联网科技产业浪潮的判断和预测。因为在极度商业化的今天，科技的进步和商机是分不开的。诚如作者所言：“人的商业知识和眼光不是天生的，需要不断地、有心地学习。经过多年的学习、思考和实践，我认定这样一个规律，就是：科技的发展不是均匀的，而是以浪潮的形式出现。每一个人都应该看清楚浪潮，赶上浪潮，如此，便不枉此生。”,2021-12-20 19:28:16,2021-12-20 19:28:16
9787115000613,浪潮之巅（第2版）（套装上下册）,https://img2.doubanio.com/view/subject/l/public/s27932441.jpg,吴军,,互联网,人民邮电出版社,一个企业的发展与崛起，绝非只是空有领导强人即可达成。任何的决策、同期的商业环境，都在都影响着企业的兴衰。《浪潮之巅》不只是一本历史书，除了讲述科技顶尖企业的发展规律，对于华尔街如何左右科技公司，以及金融风暴对科技产业的冲击，也多有着墨。此外，这本书也着力讲述很多尚在普及或将要发生的，比如微博和云计算，以及对下一代互联网科技产业浪潮的判断和预测。因为在极度商业化的今天，科技的进步和商机是分不开的。诚如作者所言：“人的商业知识和眼光不是天生的，需要不断地、有心地学习。经过多年的学习、思考和实践，我认定这样一个规律，就是：科技的发展不是均匀的，而是以浪潮的形式出现。每一个人都应该看清楚浪潮，赶上浪潮，如此，便不枉此生。”,2021-12-20 19:28:19,2021-12-20 19:28:19
9787115514226,浪潮之巅（第四版）（上下册）,https://img1.doubanio.com/view/subject/l/public/s32513229.jpg,吴军,,互联网,人民邮电出版社,这不只是一部科技产业发展历史集……更是在这个智能时代，一部IT人非读不可，而非IT人也应该阅读的作品。一个企业的发展与崛起，绝非只是空有领导强人即可达成。任何的决策、同期的商业环境、各种能量的此消彼长，也在影响着企业的兴衰。《浪潮之巅》不只是一部历史书 ，除了讲 述 科技顶尖企业的发展规律， 对于华尔街如何左右科技公司，以及金融风暴对科技产业的冲击，也多有着墨。《浪潮之巅 第四版》新增了6章内容，探讨硅谷不竭的创新精神究竟源自何处，进一步从工业革命的范式、生产关系的革命等角度深入全面阐述信息产业的规律性。从而，借助对信息时代公司管理特点进行的系统分析，对下一代科技产业浪潮给出判断和预测。---------------第四版增加了大约1/4的章节，包括：·“八叛徒与硅谷”（关于罗伊斯、摩尔等“八叛徒”创办仙童公司，开创全世界半导体产业的事迹...,2021-12-20 19:28:22,2021-12-20 19:28:22
9787115441249,网络是怎样连接的,https://img1.doubanio.com/view/subject/l/public/s29370067.jpg,[日]户根勤,周自恒,互联网,人民邮电出版社,本书以探索之旅的形式，从在浏览器中输入网址开始，一路追踪了到显示出网页内容为止的整个过程，以图配文，讲解了网络的全貌，并重点介绍了实际的网络设备和软件是如何工作的。目的是帮助读者理解网络的本质意义，理解实际的设备和软件，进而熟练运用网络技术。同时，专设了“网络术语其实很简单”专栏，以对话的形式介绍了一些网络术语的词源，颇为生动有趣。本书图文并茂，通俗易懂，非常适合计算机、网络爱好者及相关从业人员阅读。,2021-12-20 19:28:24,2021-12-20 19:28:24
9787115301208,浪潮之巅（上册）,https://img2.doubanio.com/view/subject/l/public/s28066581.jpg,吴军,,互联网,人民邮电出版社,《浪潮之巅(第2版)(上册)》不是一本科技产业发展历史集，而是在这个数字时代，一本IT人非读不可，而非IT人也应该阅读的作品。一个企业的发展与崛起，绝非只是空有领导强人即可达成。任何的决策、同期的商业环境，都在都影响着企业的兴衰。《浪潮之巅》不只是一本历史书，除了讲述科技顶尖企业的发展规律，对于华尔街如何左右科技公司，以及金融风暴对科技产业的冲击，也多有着墨。此外，《浪潮之巅》也着力讲述很多尚在普及或将要发生的，比如微博和云计算，以及对下一代互联网科技产业浪潮的判断和预测。因为在极度商业化的今天，科技的进步和商机是分不开的。诚如作者所言：“人的商业知识和眼光不是天生的，需要不断地、有心地学习。经过多年的学习、思考和实践，我认定这样一个规律，就是：科技的发展不是均匀的，而是以浪潮的形式出现。每一个人都应该看清楚浪潮，赶上浪潮，如此，便不枉此生。” ...,2021-12-20 19:28:25,2021-12-20 19:28:25
9780578012810,Getting Real,https://img9.doubanio.com/view/subject/l/public/s4126286.jpg,JasonFried,,互联网,37signals,"Getting Real details the business, design, programming, and marketing principles of 37signals. The book is packed with keep-it-simple insights, contrarian points of view, and unconventional approaches to software design. This is not a technical book or a design tutorial, it's a book of ideas. Anyone working on a web app - including entrepreneurs, designers, programmers, executi...",2021-12-20 19:28:27,2021-12-20 19:28:27
9787121139512,浪潮之巅,https://img9.doubanio.com/view/subject/l/public/s6807265.jpg,吴军,,互联网,电子工业出版社,近一百多年来，总有一些公司很幸运地、有意识或无意识地站在技术革命的浪尖之上。在这十几年间，它们代表着科技的浪潮，直到下一波浪潮的来临。从一百年前算起，AT&T 公司、IBM 公司、苹果公司、英特尔公司、微软公司、思科公司、雅虎公司和Google公司都先后被幸运地推到了浪尖。虽然，它们来自不同的领域，中间有些已经衰落或正在衰落，但是它们都极度辉煌过。本书系统地介绍了这些公司成功的本质原因及科技工业一百多年的发展。在极度商业化的今天，科技的进步和商机是分不开的。因此，本书也系统地介绍了影响到科技浪潮的风险投资公司，诸如 KPCB 和红杉资本，以及百年来为科技捧场的投资银行，例如高盛公司，等等。在这些公司兴衰的背后，有着它必然的规律。本书不仅讲述科技工业的历史，更重在揭示它的规律性。,2021-12-20 19:28:29,2021-12-20 19:28:29
9787115336446,浪潮之巅（第二版）,https://img2.doubanio.com/view/subject/l/public/s27876291.jpg,[美国]吴军,,互联网,人民邮电出版社,精装本限量发行！随机发送，先到先得。销售超14万册《数学之美》作者、文津奖获奖作者吴军重返硅谷后最新力作，深度剖析IT产业，掌握下一个黄金十年--------------------------------------------------------------------------------------------------------------------------------------《浪潮之巅 第二版》精装本 限量发行，更增加附录-中国公司与美国股市的恩恩怨怨时隔两年，互联网及IT行业浪潮亲历者吴军博士强势回归!《浪潮之巅》第一版自出版以来，在业界获得了巨大反响。信息产业发展瞬息万变，在《浪潮之巅》第一版上市的两年后， IT行业也发生了很大的变化，吴军博士继续娓娓道来，与您聊聊这些年里，IT界的这些事。这不是一本科技...,2021-12-20 19:28:31,2021-12-20 19:28:31
9787300034935,信息规则,https://img2.doubanio.com/view/subject/l/public/s1436172.jpg,[美]卡尔・夏皮罗(CarlShapiro),张帆,互联网,中国人民大学出版社,本书的目标是，运用网络经济中的经济学知识，从经济研究和作者自己的经验中提取出适合信息相关产业的经理们的知识。本书描述的思想、概念、模型和思考方法会帮助读者作出更好的决策。,2021-12-20 19:28:34,2021-12-20 19:28:34
9780984782819,Cracking the PM Interview,https://img2.doubanio.com/view/subject/l/public/s27183752.jpg,GayleLaakmannMcDowell,,互联网,CareerCup,How many pizzas are delivered in Manhattan? How do you design an alarm clock for the blind? What is your favorite piece of software and why? How would you launch a video rental service in India? This book will teach you how to answer these questions and more.Cracking the PM Interview is a comprehensive book about landing a product management role in a startup or bigger tech co...,2021-12-20 19:28:35,2021-12-20 19:28:35
9787115497482,计算广告 第2版,https://img9.doubanio.com/view/subject/l/public/s33465396.jpg,刘鹏,,互联网,人民邮电出版社,计算广告是一项新兴的研究课题，它涉及大规模搜索和文本分析、信息获取、统计模型、机器学习、分类、优化以及微观经济学等诸多领域的知识。本书从实践出发，系统地介绍计算广告的产品、问题、系统和算法，并且从工业界的视角对这一领域进行具体技术的深入剖析。本书立足于广告市场的根本问题，从计算广告各个阶段所遇到的市场挑战出发，以广告系统业务形态的需求和变化为主线，依次介绍合约广告系统、竞价广告系统、程序化交易市场等重要课题，并对计算广告涉及的关键技术和算法做深入的探讨，这一版中更是加入了深度学习的基础方法论及其在计算广告中的应用。无论是互联网公司商业化部门的产品技术人员，还是对个性化系统、大数据变现或交易有兴趣的产品技术人员，传统企业互联网化进程的决策者，传统广告业务的从业者，互联网创业者，计算机相关专业研究生，都会从阅读本书中受益匪浅。,2021-12-20 19:28:36,2021-12-20 19:28:36
9787111588702,硅谷增长黑客实战笔记,https://img9.doubanio.com/view/subject/l/public/s29731164.jpg,曲卉,,互联网,机械工业出版社,增长黑客这个词源于硅谷，简单说，这是一群以数据驱动营销、以迭代验证策略，通过技术手段实现爆发式增长的新型人才。近年来，互联网公司意识到这一角色可以发挥四两拨千斤的作用，因此对该职位的需求也如井喷式增长。本书作者曾在增长黑客之父肖恩•埃利斯麾下担任增长负责人，用亲身经历为你总结出增长黑客必备的套路、内力和兵法。本书不仅有逻辑清晰的理论体系、干货满满的实践心得，还有Pinterest､SoFi､探探､Keep 等中美知名互联网公司增长专家倾囊相授的一线实战经验。无论你是对增长感兴趣的一线产品经理或市场运营人员，还是想要在公司内引入增长团队的公司管理层或创始人，本书将彻底为你解答做增长的疑问，帮助你首次真正将增长黑客理论落地应用，通过系统性的方法取得指数型、可持续的增长！,2021-12-20 19:28:38,2021-12-20 19:28:38
