book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787500864264,赵世炎(杜鹃啼血1901-1927)/中国工运历史英烈传,https://img1.doubanio.com/view/subject/l/public/s29557967.jpg,沈国凡,,传记,中国工人,,2021-12-23 01:01:44,2021-12-23 01:01:44
9787301306826,一辩到底,https://img2.doubanio.com/view/subject/l/public/s33707261.jpg,[美]艾伦·德肖维茨,朱元庆,传记,北京大学出版社,2020年1月，身陷弹劾危机的美国总统特朗普高调宣布，艾伦·德肖维茨将为他辩护。至此，从克林顿开始，近三十年来历任美国总统均成为艾伦·德肖维茨的客户。这只是德肖维茨辉煌履历的区区一页。本书是德肖维茨这位当代美国法律界教父在步入古稀之年后给世人交出的一份职业生涯“总结陈词”。这部个人回忆录详尽记叙了他投身法律逾半个世纪的精彩故事。读者随着他的文字，辗转于哈佛法学院讲台、国会听证席与联邦最高法院审判庭，遭遇拳王阿里、迈克尔·杰克逊、涉嫌杀妻的辛普森甚至穷途末路的利比亚前领导人卡扎菲。德肖维茨以充沛的情感回顾了自己人生长路上看到的风景，也让读者感慨万分。,2021-12-23 01:01:50,2021-12-23 01:01:50
9781594200090,Alexander Hamilton,https://img9.doubanio.com/view/subject/l/public/s26656985.jpg,RonChernow,,传记,ThePenguinPress,"From National Book Award winner Ron Chernow, a landmark biography of Alexander Hamilton, the Founding Father who galvanized, inspired, scandalized, and shaped the newborn nation. ",2021-12-23 01:01:57,2021-12-23 01:01:57
9781531865047,Born a Crime,https://img9.doubanio.com/view/subject/l/public/s29432554.jpg,TrevorNoah,,传记,AudibleStudiosonBrillianceAudio,"Trevor Noah was born in South Africa before the elimination of apartheid, a system of institutionalized racial segregation. Because his father is white and his mother is Black, he was born a “crime.” Though he was classified as colored and suffered from all kinds of inequality, he grew up under the protection of his mother, who was brave, pious, rebellious, and optimistic. Than...",2021-12-23 01:02:05,2021-12-23 01:02:05
9787542662026,沈从文的后半生（增订版）,https://img2.doubanio.com/view/subject/l/public/s29714991.jpg,张新颖,,传记,上海三联书店,这是一部“感动沈从文家人”的沈从文传记，一部令《活着》作者“感慨万分”的人物传记，一部获得中国国家图书馆“文津奖”的新经典传记（增订版）。沈从文逝世三十周年暨2018年“增订版”，新增《沈从文的后半生：这是什么样的故事》（绝境的故事，个人和时代关系的故事，创造力的故事，爱的故事，时间胜利的故事），并首次收入沈从文作为“绝笔”的《一点记录——给几个熟人》。沈从文，生于1902年，逝于1988年。“如果他在世，肯定是1988年诺贝尔文学奖的有力的候选人。”不少人喜欢这样的说法，以此来加重对沈从文的崇仰和表达遗憾。《沈从文的后半生：1948—1988》认为，这固然是个很大的遗憾，不过实在说来，获奖与否并没有多么重要。重要的是，对沈从文的认识，能走到多远多深。1988年，远未到盖棺定论的时候。“重新发现”沈从文的工作仍将继续……从1948年始，沈从文在...,2021-12-23 01:02:13,2021-12-23 01:02:13
9780140159950,Ludwig Wittgenstein,https://img2.doubanio.com/view/subject/l/public/s27213523.jpg,RayMonk,,传记,PenguinBooks,"Wittgenstein possessed one of the most acute philosophical minds of the 20th century. In this incisive portrait, Monk offers a unique insight into the life and work of a modern genius who radically redirected philosophical thought in our time.",2021-12-23 01:02:20,2021-12-23 01:02:20
9784594065980,蒼い炎,https://img2.doubanio.com/view/subject/l/public/s27221012.jpg,羽生結弦,,传记,扶桑社,羽生结弦：1994年12月7日生于日本仙台市。2014年获得索契冬奥会金牌，成为亚洲首位男子单人滑冠军。2014年、2017年世界花样滑冰锦标赛男单冠军。2013—2016年赛季花样滑冰大奖赛总决赛四连冠。2012—2015年赛季，全日本花样滑冰锦标赛四连冠。2018年蝉联平昌冬奥会冠军，66年以来第一位蝉联冬奥会男单冠军的花样滑冰选手。2020年获得四大洲花样滑冰锦标赛男单比赛冠军，成为男单史上，实现奥运会、世锦赛、大奖赛总决赛、四大洲赛全满贯第一人。2020年，荣获国际滑联2019-2020赛季MVS。19次打破世界纪录，短节目112.72分、自由滑223.20分、总成绩330.43分的世界纪录保持者。,2021-12-23 01:02:27,2021-12-23 01:02:27
9787101115079,左宗棠全传,https://img9.doubanio.com/view/subject/l/public/s29027434.jpg,秦翰才,,传记,中华书局,《左宗棠全传(上下)》前前后后写了十几年，四易其稿，*终写成于1949年初，是首部系统研究左宗棠的专著。为撰写《全传》，作者参考了大量历史资料和前人著作，引用书目多达360余种，在已有的左宗棠研究著作中，无能出其右者。为了查找史料，有一段时期，秦翰才先生在上海鸿英图书馆将《申报》从创刊号始至左宗棠逝世止十多年的报纸逐日翻阅一过，而书中引用的《申报》材料不过十数条。这种严谨的治学态度是极可称道的。总之，本书足可作为学界进一步研究的基石。本书以治军理政为中心，全面评述了传主的一生事迹。,2021-12-23 01:02:33,2021-12-23 01:02:33
9787549632923,戴高乐将军,https://img1.doubanio.com/view/subject/l/public/s33716359.jpg,[美]朱利安·杰克逊（JulianJackson）,朱明,传记,上海文汇出版社,本书是关于夏尔·戴高乐的权威传记，详细描述和分析了戴高乐一生的思想和实践。戴高乐是法兰西第五共和国的创建者，也是法国历史上具有最大争议和复杂性的政治人物。有人认为他是拯救法国的民族英雄，也有人认为他是专制的代名词和恶魔。在2010年评选法国历史上最重要的人物时，戴高乐的投票率高居榜首，远高于排名第二的拿破仑。作者力图用客观的态度与方法，重新看待戴高乐在影响法国至深的两次内战中所起到的核心作用，进而评估戴高乐如何改变了法国人思考其国家政治、历史的方式。本书更是首次运用了2004年公开的戴高乐未发表资料和战争手稿，并深入研究了戴高乐的私人生活和与其家庭的私人关联，呈现出更加立体丰富的戴高乐形象。本书亮点1、拥有强大的人格魅力，就连敌人都会追随你！全方位展示戴高乐将军一生的起伏与荣耀，看他如何在没有一兵一卒、一枪一炮的情况下，凭借强大的个人魅力，使...,2021-12-23 01:02:39,2021-12-23 01:02:39
9789862374641,YOSHIKI/佳樹,https://img2.doubanio.com/view/subject/l/public/s4202521.jpg,小松成美,賴庭筠,传记,台灣國際角川,日本視覺系天團X JAPAN團長YOSHIKI首次坦言與主唱TOSHI之間的友情、吉他手HIDE之死……X JAPAN的誕生與解散、重生的經過，個人成長經歷與父親的自殺──衝擊力作終於問世!!1999年1月底的一次長時間採訪之後──紀實作家小松成美歷經十年歲月採訪並記錄，終於完成這本YOSHIKI的真實紀錄，更收錄52張YOSHIKI未公開的私生活照片！「這世上已經沒有林佳樹這個人了，從今以後，我是X的YOSHIKI。」（原書P.206）由HIDE的猝逝切入YOSHIKI的前半生──10歲時因父親自殺而造成心靈創傷……與搖滾樂的邂逅，拯救了少年時期極度悲傷的YOSHIKI。小學五年級第一次聽到KISS樂團的專輯，大受震撼的YOSHIKI在前往武道館觀賞演唱會時，下定這樣的決心──「我決定了，我一定要成為一位搖滾巨星。」（原書P...,2021-12-23 01:02:46,2021-12-23 01:02:46
