book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787532167289,人猿泰山之落难军团,https://img1.doubanio.com/view/subject/l/public/s33470318.jpg,[美]埃德加·赖斯·巴勒斯,,儿童文学,上海文艺出版社,,2021-12-20 20:27:42,2021-12-20 20:27:42
9787532411207,彩图世界名著100集（红星篇）,https://img1.doubanio.com/view/subject/l/public/s2867389.jpg,纪堤,,儿童文学,少年儿童出版社,,2021-12-20 20:27:44,2021-12-20 20:27:44
9787541413629,鬼塔,https://img2.doubanio.com/view/subject/l/public/s26381981.jpg,[巴西]苏珊娜,西风翻译社,儿童文学,晨光出版社,鬼塔是一个鬼故事，它把查理、尼克和阿里带到鬼岛和一座令人毛骨悚然的塔里。他们开到那个地方为的是搜寻传说中的幽灵，这一来他们就卷入了一桩危机四伏的阴谋并引发了一次对鬼魂财宝的探索。,2021-12-20 20:27:45,2021-12-20 20:27:45
9787532402830,365夜故事（上下）,https://img9.doubanio.com/view/subject/l/public/s6343106.jpg,鲁兵,,儿童文学,少年儿童出版社,,2021-12-20 20:27:46,2021-12-20 20:27:46
9787532489350,黑天鹅紫水晶,https://img1.doubanio.com/view/subject/l/public/s7021608.jpg,沈石溪,,儿童文学,少年儿童出版社,《黑天鹅紫水晶》是“中国动物小说大王”沈石溪年度倾情巨献——讲述了一卷尘封已久的羊皮日记，诉说了：一场人与天鹅的，恩怨故事。《黑天鹅紫水晶》为小读者们讲述一段代代相传的血海深仇，一份生死相依的珍贵感情。,2021-12-20 20:27:47,2021-12-20 20:27:47
9787534608490,世界动物故事100篇,https://img2.doubanio.com/view/subject/l/public/s27988791.jpg,,,儿童文学,江苏少年儿童出版社,世界动物故事100篇，ISBN：9787534608490，作者：,2021-12-20 20:27:48,2021-12-20 20:27:48
9787532711970,法国童话精选,https://img1.doubanio.com/view/subject/l/public/s3669609.jpg,贝洛等,傅辛等,儿童文学,上海译文出版社,《法国童话精选》一书中有选择地收入了十七世纪到二十世纪的优秀童话共十六篇，他们分别出自贝洛、多努瓦夫人、博蒙夫人、德·塞居尔夫人和皮埃尔·格里帕里等五位童话大师之手。这些童话赞美了人民正直、勤劳、善良、机智和勇敢的优秀品质，反映了他们的美好理想和对幸福生活的憧憬。真诚地希望《法国童话精选》这本书能受到广大青少年读者的喜爱，能使小读者们从中得到启迪，也希望它能给成人读者带来阅读的乐趣和更深沉的思索。,2021-12-20 20:27:50,2021-12-20 20:27:50
9787532412648,长袜子皮皮冒险故事,https://img9.doubanio.com/view/subject/l/public/s3661934.jpg,阿·林格伦,李之义,儿童文学,少年儿童出版社,这里有一瑞典姑娘，想和中国的孩子们成为好朋友。她的名字叫做长袜子皮皮。皮皮是一位不同寻常的姑娘。她最不同寻常之处是她非常强壮。全世界没有一个警察有她那样强壮。她能用手举起一整匹马。尽管她是那么强壮，她并不盛气凌人和要高人一等，相反，她非常友善。她的表现虽说不是十全十美，但是你也不必在意。我的意思不是要你像她那样做。只有用手举起一整匹马的人才能在咖啡宴上把一个大蛋糕全都吃下去（皮皮确实是这样做的）。皮皮有很多朋友，有瑞典的，俄国的，英国的，德国的，美国的，意大利的，法国的，西班牙的，日本的。啊，皮皮有朋友的国家和民族真多啊，我实在也数不上来。这回她要交中国的朋友了。因为她有这个愿望。我保证是这样的。阿斯特丽·林格伦,2021-12-20 20:27:51,2021-12-20 20:27:51
9787530104910,哈尔罗杰历险记(全套共14册),https://img1.doubanio.com/view/subject/l/public/s11318109.jpg,威勒德·普赖斯,,儿童文学,北京少年儿童出版社,本书记述了哈尔罗杰兄弟惊心动魄的探险活动，把你带入奇幻无比的未知世界。全书惊险、曲折、奇特、壮观，会使你惊叹不己，爱不释卷。,2021-12-20 20:27:54,2021-12-20 20:27:54
9787535308221,世界童话名著故事365(精),https://img3.doubanio.com/view/subject/l/public/s3804860.jpg,周基亭,,儿童文学,湖北少年儿童出版社,,2021-12-20 20:27:55,2021-12-20 20:27:55
