book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787510877339,令子驰风尘,https://img3.doubanio.com/view/subject/l/public/s30024250.jpg,许贤旺,,励志,九州出版社,《令子驰风尘》以陈有成这一人物为中心，以片段式结构点滴记录有成不断成长的过程。有成生于一个贫苦家庭，家庭不仅不能给予他优越的物质条件，连正常的父母关爱也是缺乏的——母亲二娇患有精神病，父亲志成为家中生计常年在外打工。但有成不觉得自己有缺少什么，反而积极寻找精神上的富有。在成长路上他也结识了不少好友，其中亦有“不打不相识”的，他们都让有成的生命更加完整和精彩。成长路上酸甜苦辣，有成享受春风的沐浴，也经历一些磕磕绊绊，但始终保持着积极进取、乐观向上。可有些意外是始料不及的。在一次出行中，有成为救学生，不幸“失忆”，在这之后，生活轨迹发生了重大变化。但生活最终复归于宁静与自然，有成对生活与身边的人也更加珍惜。在小说的结尾，有成道出了一个不为人知的“谎言”，而这“谎言”却是一片用心良苦……小说题材回归苦难，娓娓道来中阅人生酸甜苦辣，是一部“有味道”的小说。...,2021-12-24 21:45:00,2021-12-24 21:45:00
9787564425173,助张继科成就大满贯,https://img2.doubanio.com/view/subject/l/public/s29559291.jpg,肖战,,励志,北京体育大学出版社,《助张继科成就大满贯》以作者肖战、黄文文20多年的执教生涯为大背景，分别介绍了他几十年如一日，在事业上呕心沥血的付出和他与运动员浴血奋战的经历。除此之外，《助张继科成就大满贯》为从事乒乓球事业的教练员、运动员和爱好者提供了最鲜活的实例和重要的科学指导方法。此书汇集了作者多年来的心血，其思想性、技术性、知识性、趣味性与可读性皆备，相信一定可以使广大读者从中汲取教益，在了解作者乒乓人生的同时，也进一步提高对乒乓球的理解与感悟。,2021-12-24 21:45:06,2021-12-24 21:45:06
9787544502313,灌篮高手（全31卷）,https://img2.doubanio.com/view/subject/l/public/s10311053.jpg,[日本]井上雄彦,邹宁,励志,长春出版社,一部围绕青少年篮球运动的日本幽默卡通巨片！是九十年代以来，在中国内地最火爆最为经典的日本漫画！漫画讲述的是一名叫樱木花道的高一新生追求篮球梦的故事，他在初中的恋爱失败了50次，上了高中，为了赢得晴子的芳心加入了湘北篮球社，并以惊人的速度进步，开始了他的篮球生涯。在那里，他遇上了女生心目中的篮球偶像流川枫，以及宫城、三井等人的出现，湘北篮球社不断成长……,2021-12-24 21:45:14,2021-12-24 21:45:14
9787516920046,丰盛,https://img2.doubanio.com/view/subject/l/public/s34021692.jpg,杨定一,,励志,华龄出版社,揭秘心想事成的至简真理，如何轻松不费力地拥有一生好运参透《秘密》《吸引力法则》的成功秘诀之背后秘密，真正登上人生富足之巅。天才科学家、奥运冠军心灵导师、《真原医》《静坐》等多部现象级畅销书作者杨定一博士。《秘密》《吸引力法则》等成功励志之书，告诉我们如何运用物质世界的规律，去争取物质世界的丰盛。本书却让你彻底明白：获取外在丰盛的唯一前提是，找回我们生命自有的丰盛。找到它，所有外在的丰盛自会随之而来。找回生命的丰盛并不难。杨定一博士通过正向、集中注意力等多项科学而简单的小练习，引导我们逐步放下纷扰的念头与障碍，为自己的内心创造出一个神圣、独特的空间。当头脑简化、身心同步，并能清晰而笃定地解答出关于生命“真实”的问题时，你其实已经重新拥有了生命完整的丰盛。而它正是你改变命运、实现自我的终极奥秘。当丰盛的生命，滋养人生每一个角落时，你所渴求的成功、幸...,2021-12-24 21:45:20,2021-12-24 21:45:20
9784594065980,蒼い炎,https://img2.doubanio.com/view/subject/l/public/s27221012.jpg,羽生結弦,,励志,扶桑社,羽生结弦：1994年12月7日生于日本仙台市。2014年获得索契冬奥会金牌，成为亚洲首位男子单人滑冠军。2014年、2017年世界花样滑冰锦标赛男单冠军。2013—2016年赛季花样滑冰大奖赛总决赛四连冠。2012—2015年赛季，全日本花样滑冰锦标赛四连冠。2018年蝉联平昌冬奥会冠军，66年以来第一位蝉联冬奥会男单冠军的花样滑冰选手。2020年获得四大洲花样滑冰锦标赛男单比赛冠军，成为男单史上，实现奥运会、世锦赛、大奖赛总决赛、四大洲赛全满贯第一人。2020年，荣获国际滑联2019-2020赛季MVS。19次打破世界纪录，短节目112.72分、自由滑223.20分、总成绩330.43分的世界纪录保持者。,2021-12-24 21:45:26,2021-12-24 21:45:26
9787802255739,基督山伯爵(套装上下册),https://img9.doubanio.com/view/subject/l/public/s3526104.jpg,[法国]大仲马,汪洋,励志,新星出版社,如果你19岁，被人诬陷，当作重刑犯打入黑牢，你会不会绝望？监狱建在海岛的悬崖上，300年来这里的囚徒无一生还，你敢不敢想到越狱？如果14年终于逃出，却身陷无边无际的大海，你该怎么办？如果得到了宝藏的秘密，又该如何找到它并为己所用？如果当初你找到当初诬陷你的仇人，却发现他们个个飞黄腾达、势力强大，你该怎样复仇？……《基督山伯爵》讲述的就是这样一个故事。这世上既无所谓幸福也无所谓不幸，只有境遇的不同……人类的全部智慧都包含在这四个字里面：等待、希望。——《基督山伯爵·第117章》刘翔减压秘诀：最爱《基督山伯爵》。刘翔的父亲刘学根在接受本报记者采访时透露，刘翔现在的最大爱好是读世界文学巨作，尤其是法国名薯《基督山伯爵》刘翔已经读过好几遍了。——北京晚报因为过于喜欢大仲马的《基督山伯爵》，才萌发了将它改编成电视剧的想去……(主人公)有爱、有恨、有智...,2021-12-24 21:45:37,2021-12-24 21:45:37
9788992647601,向世界呼喊吧,https://img3.doubanio.com/view/subject/l/public/s27208890.jpg,bigbang,,励志,,“这条路的尽头是我想要的世界。不要等待着这个世界给你什么，直接朝着世界大声呼喊吧！只要有梦想，就没有任何好害怕的事情。”BIGBANG与此间登场的许多偶像组合所不同的诞生背景，尽管年纪很轻，却因为这些充满着技巧和才能的成员们，在10代的歌迷之外，还产生了许多成年的歌迷。包含了他们的诞生秘闻的总共11篇实录通过online公开，带给了许多人们感动于勇气，而现在，他们独有的热情和梦想、挑战的信息，将能够以一本书的形式看到。《向世界呼喊吧》是并非作为偶像的BIGBANG，而是凭借着年轻而高喊BIGBANG的声音！提醒着以现在刚开始起步的10代、20代世代为主，这些迷失了梦想而彷徨着的年轻人们，找到梦想，并朝着它前进并非是追忆性质的梦想，而是汗水和实行的结晶，并揭示出只看到华丽的艺人隐藏在内的烦恼和努力。,2021-12-24 21:45:45,2021-12-24 21:45:45
9787547309827,谈修养,https://img2.doubanio.com/view/subject/l/public/s28904752.jpg,朱光潜,,励志,东方出版中心,本书系著名美学家、文艺理论家、教育家、翻译家朱光潜先生阐发人生修养途径的著作，书中着眼于其关于人生诸般极精微又极精明的见解。作者以其心理学的专长和思想文化的观察，把握个人心性与社群国族之间的互动，一一道破种种心性的困惑和社会蔽障，引导人生趋往康庄与丰盈。,2021-12-24 21:45:51,2021-12-24 21:45:51
9784063726749,宇宙兄弟（1）,https://img9.doubanio.com/view/subject/l/public/s4572224.jpg,小山宙哉,,励志,講談社,2025年。兄は、もう一度だけ自分を信じた。筑波経由火星行きの物語がはじまる！本格兄弟宇宙漫画発進！幼少時代、星空を眺めながら約束を交わした兄・六太と弟・日々人。2025年、弟は約束どおり宇宙飛行士となり、月面の第1次長期滞在クルーの一員となっていた。一方、会社をクビになり、無職の兄・六太。弟からの1通のメールで、兄は再び宇宙を目指しはじめる。,2021-12-24 21:45:58,2021-12-24 21:45:58
9787540225124,飘（上下）,https://img2.doubanio.com/view/subject/l/public/s27968372.jpg,[美]米切尔,,励志,北京燕山出版社,小说以亚特兰大以及附近的一个种植园为故事场景，描绘了内战前后美国南方人的生活。作品刻画了那个时代的许多南方人的形象，占中心位置的人物斯佳丽、瑞特、阿希礼、玫兰妮等人是其中的典型代表。他们的习俗礼仪、言行举止、精神观念、政治态度，以至于衣着打扮等等，在小说里都叙述得十分详尽。可以说小说成功地再现了那个时代美国南方这个地区的社会生活。,2021-12-24 21:46:10,2021-12-24 21:46:10
