book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787532562589,三国志集解（全八册）,https://img1.doubanio.com/view/subject/l/public/s28005179.jpg,陈寿,卢弼集解,历史,上海古籍出版社,《三国志》为前四史之一，在二十四史中有重要地位。陈寿所作《三国志》过于简略，经裴松之作注，内容充实了很多。但裴注主要充实了史实，典章名物方面尚多所缺失。近人卢弼先生博采众书，精加校释，误者正之，缺者补之，核正地理，诠释名物，大大有益于本书的研究者。其中除排印错误径加改正外，所引旧说，均不增改。作者评议，亦加注明。又经著名学者钱剑夫先生作了标点整理，读者更为方便。,2021-12-20 23:18:31,2021-12-20 23:18:31
9787559631244,亮剑,https://img2.doubanio.com/view/subject/l/public/s32338532.jpg,都梁,,历史,北京联合出版公司,李云龙是一个叱咤风云、百战沙场的职业军人，是一个一生都在血与火中搏斗的名将。他的人生信条是：“面对强大的对手，明知不敌，也要毅然亮剑。即使倒下，也要成为一座山，一道岭。”在战争与和平的失控转换中，他的人生注定要成为一个传奇。,2021-12-20 23:18:40,2021-12-20 23:18:40
9787545602081,写给儿童的世界历史,https://img2.doubanio.com/view/subject/l/public/s29413383.jpg,陈卫平,,历史,贵州教育出版社,编辑推荐这是一套台湾学者精心为中国孩子编写的世界历史，荣获台湾金鼎奖。丛书具有以下特色：☆ 以孩子能懂的经验、语言，搭建孩子眼中的世界史观。整套书分为16册、111个小章节，每章约两三千字，语言亲切活泼，朴实清楚。8-9岁儿童即可自主阅读。☆ 将中国置于全球视野下，搭准中国与世界的共振脉搏。列出完备的历史年表，在时间轴上将中国与西方做并列比较。☆ 采用美国国家地理协会精美历史插图。辅以珍贵的文物照片、原创插图，强调写实生动，符合历史场景，让孩子身历其境，借以传达正确的历史常识，丰富孩子的美感经验。☆ 强调无偏见的看待历史，采纳各家之说，不做标准答案。引导孩子自发的思索、评价历史，避免简单的背书、记书。为此，书中设计了“亲子共赏”栏目，鼓励孩子与父母一起探讨历史问题，发现历史趣味。步印童书馆其他精彩儿童历史类图书：《写给儿童的中国历史》（...,2021-12-20 23:18:46,2021-12-20 23:18:46
9787101115970,春秋左传注(修订本),https://img9.doubanio.com/view/subject/l/public/s29398324.jpg,杨伯峻,,历史,中华书局,《春秋左传》是我国现存极早的编年体史书，记事翔实，文辞优美，是学习、研究先秦历史、文学、哲学和语言的必读典籍。作者广泛收集有关文献考古资料，充分汲取古今学者研究成果，对全书作了深入浅出、博洽简明的注释。本书修订本，对初版本作了全面细微的校订、修改，补充了新材料。,2021-12-20 23:18:54,2021-12-20 23:18:54
9780311844906,中国历史地图集,https://img2.doubanio.com/view/subject/l/public/s4364581.jpg,谭其骧,,历史,中国地图出版社,谭其骧（1911年2月25日—1992年8月28日），字季龙、笔名禾子，浙江嘉兴嘉善人。中国历史地理学家，是中国历史地理学科的主要奠基人和开拓者之一。1930年毕业于暨南大学历史系，1932年毕业于燕京大学研究生院。新中国成立前，先后任教于辅仁、北京、燕京、清华、浙江、暨南等大学。建国后，历任复旦大学教授、历史系主任、中国历史地理研究所所长，中国科学院地学部委员，国务院学位委员会第一届学科评议组成员，国务院古籍整理出版规划小组成员，国家历史地图集编委会副主任兼总编辑。1960年获全国文教先进工作者称号。九三学社社员。第三至五届全国人大代表。中国现代历史地理学科的创始人之一。1934年与顾颉刚等发起成立中国第一个历史地理的学术团体——禹贡学会，创办《禹贡》半月刊。早年研究地理沿革、疆域史地和民族问题，自成体系。1955年起主持编纂《中国历史地图集》，...,2021-12-20 23:19:01,2021-12-20 23:19:01
9787101081121,资治通鉴,https://img1.doubanio.com/view/subject/l/public/s29327698.jpg,司马光,,历史,中华书局,《资治通鉴（繁体竖排版）（套装全20册）》是中国古代著名的编年体史书，记载了战国至五代期间1300多年的历史，向为史学界所推崇，在收集史料、考订事实、编排年月及文字剪裁润色等方面都代表了古代编年体史书的最高成就，使古代历史研究的基本典籍。点校本以清朝胡克家翻刻的元刊胡三省注本为底本，是史学界通行的整理定本。,2021-12-20 23:19:10,2021-12-20 23:19:10
9787101103144,史记,https://img1.doubanio.com/view/subject/l/public/s27401079.jpg,[汉]司马迁撰,赵生群修订,历史,中华书局,《史记》是我国第一部通史，是“二十四史”中最早的一部，也是最重要的一部史书。全书共一百三十篇。《史记》叙事，始自黄帝，下迄西汉太初，采用了综合性的叙事模式，囊括记言、纪事、编年、国别等形式，开创纪传体史书“纪、传、表、志”的体例。就内容而言，《史记》是对前代史学的一次总结；就体例而言，《史记》也是集大成之作。1959年，在毛主席、周总理的指示下，顾颉刚先生等著名学者以金陵局本作为底本，对《史记》进行分段标点，并以方圆括弧来表明字句的删补，形成新中国以来最有影响力的《史记》点校本。2007年，中华书局组织点校本“二十四史”的修订工程，将《史记》作为重中之重，在原点校本的基础上，不仅对底本、通校本、参校本作了复核和补充，还改变了方圆括弧的校勘形式，增加了上千条校勘记；对原标点一一复核，进行修改和统一，以期达到新时代古籍整理的最高水准。2013年10...,2021-12-20 23:19:19,2021-12-20 23:19:19
9787534003509,一梦五千年,https://img1.doubanio.com/view/subject/l/public/s3343897.jpg,江涓等编文,,历史,浙江人民美术出版社,,2021-12-20 23:19:24,2021-12-20 23:19:24
9787101067163,资治通鉴,https://img1.doubanio.com/view/subject/l/public/s3818568.jpg,司马光,沈志华,历史,中华书局,资治通鉴（文白对照 全十八册），ISBN：9787101067163，作者：（宋）司马光 编撰，沈志华，张宏儒 主编,2021-12-20 23:19:34,2021-12-20 23:19:34
9787101077087,三国志（上下册）,https://img2.doubanio.com/view/subject/l/public/s6299722.jpg,（晋）陈寿撰，（宋）裴松之注,,历史,中华书局,《三国志（套装上下册）》是晋代陈寿编写的一部主要记载魏、蜀、吴三国鼎立时期的纪传体国别史，详细记载了从魏文帝黄初元年（220）到晋武帝太康元年（280）六十年的历史。《三国志（套装上下册）》全书六十五卷，《魏书》三十卷，《蜀书》十五卷，《吴书》二十卷，共六十五卷。陈寿是晋朝朝臣，晋承魏而得天下，所以《三国志（套装上下册）》尊魏为正统。《三国志（套装上下册）》不仅是一部史学巨著，更是一部文学巨著。陈寿在尊重史实的基础上，以简练、优美的语言为我们绘制了一幅幅三国人物肖像图。人物塑造得非常生动。,2021-12-20 23:19:43,2021-12-20 23:19:43
