book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
,毛泽东选集（第一卷）,https://img2.doubanio.com/view/subject/l/public/s24511492.jpg,毛泽东,,哲学,人民出版社,69年横排大字版第一卷http://book.douban.com/subject/20277858/第二卷http://book.douban.com/subject/20444994/第三卷http://book.douban.com/subject/20445009/第四卷http://book.douban.com/subject/20445024/,2021-12-20 23:30:05,2021-12-20 23:30:05
9787508089119,论僭政,https://img1.doubanio.com/view/subject/l/public/s33316938.jpg,[美]施特劳斯,彭磊,哲学,华夏出版社,《论僭政》中文版曾在2006年出版，此次全部重新翻译，并依照英文新版（芝加哥大学2013年版）做了增补。《论僭政》包含施特劳斯对色诺芬《希耶罗》做的义疏《希耶罗与僭主》以及施特劳斯在法国的老友科耶夫的评论《僭政与智慧》，还有两人的部分通信。由于触发了与科耶夫的争论，《论僭政》也极其有助于理解施特劳斯的古典立场何以与现代立场对立，揭示了古今政治科学的根本差异，振聋发聩。因此《论僭政》不再只是施特劳斯对一部古典作品的解读，还展现了施特劳斯与科耶夫之间深刻的思想争论，也记录了两人由年轻到年老的友谊。凡此种种，使得《论僭政》当之无愧地成为二十世纪的经典。,2021-12-20 23:30:11,2021-12-20 23:30:11
9787532769896,当代政治哲学,https://img1.doubanio.com/view/subject/l/public/s28317639.jpg,[加拿大]威尔·金里卡,刘莘,哲学,上海译文出版社,“历经一百多年而尚在进行之中的中国社会巨变依然保持其前景不明朗的特点，这自然无法满足人们对良序而稳定社会的要求，而政治哲学的正义目标的预期后果却正在于这样一种社会”，这为政治哲学在中国的发展提供了适宜的土壤。可以说，正义的问题是政治哲学家关注的核心问题，围绕对这一问题的不同理解和回答，政治哲学史呈现为异彩纷呈的图景。然而，自功利主义出现以来，各派理论不管沿着何种路径展开其自身的逻辑，都不可能绕过对功利主义的回应、批判。罗尔斯的《正义论》出版后，当代政治哲学的版图重组，不仅历史上既已形成的功利主义、自由主义等各派理论的坐标发生了根本性的变化，而且伴随着人们围绕《正义论》一书所展开的理论论辩，公民资格理论、社群主义、多元文化主义和女权主义等理论派别异军突起，从根本上改变了功利主义占主导地位的格局。《当代政治哲学》一书正是对这种理论场景的呈现。作者威...,2021-12-20 23:30:18,2021-12-20 23:30:18
9789900121121,美学,https://img1.doubanio.com/view/subject/l/public/s29555829.jpg,黑格尔,,哲学,商务印书馆,本书是德国古典哲学家黑格尔（1770—1831）的重要著作，首次出版于1835年。黑格尔在书中全面联系人类艺术发展的历史，建立了完整的唯心主义美学理论体系。本书提出美学研究的范围是美的艺术或艺术的美，美学实质上是“艺术哲学”，主张美是主观与客观、形式与内容、理想与现实、自由与必然的辩证统一，强调艺术是绝对观念在感觉经验上的体现，艺术的发展是精神克服物质局限性而达到“主观性”的过程。本书讲述了美学的范围和地位、艺术美的概念，以及美和艺术的科学研究方式等，反映了黑格尔的主要美学思想，是他客观唯心主义哲学体系的一个组成部分，也是他的哲学体系在美学和艺术领域的具体表现，集西方美学理论之大成，把德国古典美学推向顶峰。,2021-12-20 23:30:25,2021-12-20 23:30:25
9787101116779,四书章句集注,https://img9.doubanio.com/view/subject/l/public/s29112036.jpg,[南宋]朱熹集注,,哲学,中华书局,此书为朱熹最有代表性的著作之一。该书文字洗练，对《四书》训诂文字，疏通文理，注重义理阐发，从整体上探求与把握儒学精义，堪称解读《四书》的经典之作。此次整理以清嘉庆十六年吴县吴氏父子校刻本为底本，用清康熙内府仿刻的宋淳祐二年大字本校勘。 此次推出的精装典藏本，开本大小由140毫米*203毫米，调整为150毫米*220毫米，各级字号随之有所加大，每面四周留白也增加不少，从而在方便读者研读的同时，也便于做随文笔记。,2021-12-20 23:30:33,2021-12-20 23:30:33
9787108070753,什么是教育,https://img9.doubanio.com/view/subject/l/public/s33864786.jpg,[德]卡尔·雅斯贝尔斯,童可依,哲学,生活·读书·新知三联书店,德国哲学家雅斯贝尔斯关于教育的思想汇编，涉及了教育的本质、类型、任务、方式、可能性与边界，特别是大学教育的理念和任务，等等。书中充盈着雅氏关于教育的洞见，如真正的教育不是知识的堆集和智识的训练，而是人的教育，灵魂的教育，整全的教育；他提倡苏格拉底式的教育方式，强调师生间的平等尊重、互相照亮；他强调教育的目的是保持独立自由的个人意志以及对真理的不懈追求，并提出了本真的教育的方法。,2021-12-20 23:30:40,2021-12-20 23:30:40
9780415378475,The Conquest of Happiness,https://img1.doubanio.com/view/subject/l/public/s3498799.jpg,BertrandRussell,,哲学,Routledge,"Bertrand Russell describes the purpose of this book as the putting together of some remarks on the state of happiness which are inspired by common sense, rather than any profound philosophy or deep erudition. It is based on the belief that many people who are unhappy could become happy by well-directed effort.   --This text refers to an out of print or unavailable edition of th...",2021-12-20 23:30:50,2021-12-20 23:30:50
9787544784382,局外人 西绪福斯神话,https://img2.doubanio.com/view/subject/l/public/s33791192.jpg,［法国］阿尔贝·加缪,郭宏安,哲学,译林出版社,加缪代表性中篇小说+哲学随笔加缪研究专家郭宏安据“七星文库”版翻译翻译“傅雷翻译出版奖”获奖译本特别附赠法语引文书签和封面同款纪念卡片---------------------------《局外人》是加缪思想的出发点，以阿尔及尔一家船运公司的职员默而索的自述形 式写成。小说以简练得近乎枯涩的笔调，冷静得近乎淡漠的口吻，震惊读书界。《西绪福斯神话》以哲学的语言论证了《局外人》的基本思想。加缪在书中论述了“荒诞哲学”，这是一个从觉醒到行动的完整哲学体系。,2021-12-20 23:30:57,2021-12-20 23:30:57
9787101107784,论语译注（典藏版）,https://img1.doubanio.com/view/subject/l/public/s28277438.jpg,杨伯峻,,哲学,中华书局,《论语》记载了孔子和弟子们的问答，凡20篇，是儒家基本经典，影响极大。古往今来，注家众多，其中以今人杨伯峻先生的译注最为脍炙人口。《论语译注（典藏版）》是杨伯峻先生《论语译注》（简体字本）的一个扩充版，增加了原来简体字本没有排而原来繁体字本有的《试论孔子》、导言、例言、《论语词典》等，使读者得见简体字本杨伯峻《论语译注》的全貌。同时在纸张材料和装帧方式上更考究，具有典藏价值。,2021-12-20 23:31:04,2021-12-20 23:31:04
9787560443966,论再生产,https://img1.doubanio.com/view/subject/l/public/s33948068.jpg,[法]路易·阿尔都塞,吴子枫,哲学,西北大学出版社,阿尔都塞在五月风暴后撰写的重要手稿，其最有影响力的论文《意识形态和意识形态国家机器》即由从中抽取的片段合成。本书在作者去世后出版，被认为是其最具体系性的文本，也是当代西方马克思主义政治哲学的代表作之一。本书探讨了马克思主义历史科学关于社会形态理论和国家理论的一系列经典主题，最核心的是探讨了资本主义社会形态中的生产关系的再生产如何得到保障的问题，阿尔都塞在此基础上对马克思主义意识形态理论做出的论述，已被公认为当代最重要的理论成就之一。我认为可以说，这个文本已经成了、并将继续是阿尔都塞最重要的文本之一：是要描绘他的思想特征就必须参考的文本之一；是使用了烙有他自己名字的“印记”因而可被直接辨认出来的那些概念的文本之一；最后，它铭刻进了马克思主义、结构主义和后结构主义的后继传统中，成为当代哲学仍在继续研究的文本之一。——巴利巴尔这部书稿首先是一份战斗性的...,2021-12-20 23:31:12,2021-12-20 23:31:12
