book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787020048045,平凡的世界（全三册）,https://img9.doubanio.com/view/subject/l/public/s1141266.jpg,路遥,,小说,人民文学出版社,劳动着是幸福的，无论在哪个时代。《平凡的世界》正白纸黑字的告诉我们这样的人生真谛。它响亮的提出，人，无论在什么位置，无论多么贫寒，只要一颗火热的心在，只要能热爱生活，上帝对他就是平等的。只有作一名劳动者，不把不幸当作负担，才能去做生活的主人，用自己真诚的心去体验，毕竟生命属于我们只有一次。这是一部用生命来写成的书。在亘古的大地与苍凉的宇宙间，有一种平凡的声音，荡气回肠。,2021-12-19 20:32:24,2021-12-19 20:32:24
9787544787352,挽救计划,https://img9.doubanio.com/view/subject/l/public/s33958826.jpg,[美]安迪·威尔,耿辉,小说,译林出版社,科技宅男+跨星系好（基）友联袂上演太空大救援硬核工程风+幽默碎碎念打造年度科幻奥巴马、乔治•R. R. 马丁力荐高司令主演同名电影即将上映👾出版后连续16周雄踞亚马逊科幻畅销榜《挽救计划》英文版于2021年5月4日正式出版，迅疾登陆《纽约时报》《华尔街日报》《洛杉矶时报》等各大畅销书排行榜，至今仍盘踞高位。👾万人五星好评，读者直呼比《火星救援》更燃、更爆；译者坦言阅读体验像是在大脑里进行了“一场烟花表演”👾入选奥巴马2021夏日书单；《冰与火之歌》作者乔治•R. R. 马丁力荐两个世界处于危险之中，一个有能力但有缺陷的人类，一个有能力的外星人，无休止的科学谜题有待解开，人类自身处于危险之中，这本书拥有老科幻迷所喜爱的一切。如果你喜欢满是科学的科幻小说，安迪•威尔就是最适合你的作家。——乔治•R. R. 马丁，《冰与火之歌》作者...,2021-12-19 20:32:25,2021-12-19 20:32:25
,约翰·克利斯朵夫（共四册）,https://img1.doubanio.com/view/subject/l/public/s4088678.jpg,[法]罗曼·罗兰,傅雷,小说,人民文学出版社,"作品主人公约翰·克里斯朵夫出生在德国莱茵河畔一个小城市的穷音乐师家庭里。其祖父和父亲都曾是公爵的御用乐师，但此时家庭已经败落。老祖父很喜欢小克里斯朵夫，向他灌输了不少英雄创造世界的观念，这使他从小就产生了要当大人物的想法。克里斯朵夫在父亲的严格管教下学习音乐，他早熟的音乐天赋引起了祖父的注意。祖父暗地里把他随口而出的片断缀成乐曲，题名为《童年遣兴》献给了公爵。小克里斯朵夫被邀请到公爵府演奏，被夸赞为“在世的莫扎特”。11岁那年，他被任命为宫廷音乐联合会的第二小提琴手。眼看孙子有了出息，祖父在欣慰中去世了。然而，他的家境愈发败落了，父亲整日酗酒，养家的重任过早地落到了他的肩上。克里斯朵夫在附近的一家豪宅找了一份教钢琴的兼职工作，并与和他年纪相仿的学生弥娜之间相互产生了好感，但在遭到弥娜母亲的一番奚落后愤然离开。此时，父亲也去世了。克里斯朵夫...",2021-12-19 20:32:30,2021-12-19 20:32:30
9787532750320,押沙龙，押沙龙！,https://img1.doubanio.com/view/subject/l/public/s6185457.jpg,[美国]威廉·福克纳,李文俊,小说,上海译文出版社,《押沙龙，押沙龙！》是福克纳最重要，也是最复杂、深奥，最具史诗风格的一部作品。它讲述的是美国南方一个家庭从1860年到1910年左右所经历的激烈的分崩离析的故事，深刻地表现了人与人、人与自己内心的种种冲突，触及与人类境遇有关的诸多带普遍性的问题。小说叙述方式独特；书中各人物从不同的角度，带着不同的主观感情“解释”过去，但共同体现出整部作品的悲剧格调。　　本书书名源自《圣经》典故，书中描述的亲子之间的爱与恨、兄妹之间的暧昧感情等，具有《圣经》故事的色彩。,2021-12-19 20:32:33,2021-12-19 20:32:33
9787530113912,智斗猛兽,https://img1.doubanio.com/view/subject/l/public/s1554499.jpg,威勒德·普赖斯,[美]杰夫·豪,小说,北京少年儿童出版社,这套历险记自1951年一出版就大受读者欢迎，被译成多种版本，50多年来长销不衰，震撼亿万少年心灵的探险名著——《哈尔罗杰历险记》。作者威勒德·普赖斯是一位优秀青少年文学作家，他以自己多年的科学考察中的所见所闻，写成了这套14本的丛书，书中内容大多为作者亲眼所见或所闻。在书中，他把严谨的考察活动和丰富的科学知识糅进情节生动、妙趣横生的故事之中，读来真实、生动。本书是其中的一本《智斗猛兽》，适合广大青少年读者，相信你一定会被书中真实、惊险的故事情节所吸引。,2021-12-19 20:32:34,2021-12-19 20:32:34
9785553681029,Thorn Bird,https://img9.doubanio.com/view/subject/l/public/s2578976.jpg,ColleenMcCullough,,小说,BooksOnTape,,2021-12-19 20:32:35,2021-12-19 20:32:35
9784101092058,銀河鉄道の夜,https://img2.doubanio.com/view/subject/l/public/s1950953.jpg,宮沢賢治,,小说,新潮社,銀河ステーションから夜の軽便鉄道に乗ったジョバンニとカムパネルラ。「人々みんなの本当の幸せは何か」を考え求めながら、さまざまな場所へ不思議な旅をする少年達の物語。----------------------------双子の星/よだかの星/カイロ団長/黄いろのトマト/ひのきとひなげし/シグナルとシグナレス/マリヴロンと少女/オツベルと象/北守将軍と三人兄弟の医者/銀河鉄道の夜/セロ弾きのゴーシュ/飢餓陣営/ビジテリアン大祭--------------------------------------------●収録作品ごとに、賢治の生きていた時代背景も含めて解説しているので、より深く理解できる。●ちょっと難しいけれど、天沢退二郎さんの説明はとても参考になる。●難しい単語や言葉については、巻末に、辞書のように意味を説明しているので親切です。...,2021-12-19 20:32:41,2021-12-19 20:32:41
9787020106608,尘埃落定,https://img2.doubanio.com/view/subject/l/public/s28057662.jpg,阿来,,小说,人民文学出版社,《茅盾文学奖获奖作品全集：尘埃落定（精装本）》讲述康巴土司制度崩溃前夕的故事。在遥远的称为“嘉绒”，他们生活在西北大渡河峡谷地带，以从事农业为主。长期以来，土司统领这片领地。麦加土司是这片土地上最大的土司。他和他的汉族太太生了一个傻瓜儿子。就是这个人人都认定的傻瓜，却有着超凡脱俗的观世眼光。麦加土司因种植鸦片而迅速强大起来。为了保住鸦片的种植权，扩张领地，麦加土司发动了一次又一次对周围土司的战争。在征战中，傻瓜的哥哥成了战争英雄，但垂死的老土司并没有把位置让给英雄儿子，还把他派往边地，并让仇人杀了他。傻瓜儿子在其他土司疯狂中鸦片时，先见之明地提出要在自己的土地上种粮食。结果遇上饥荒年，鸦片价格大跌，饥民遍野。傻瓜儿子在守边地粮仓时，用了许多计谋，将粮食换成大量银子，还换回一大块领地。他带着银子回到官寨，老土司却害怕傻瓜儿子夺取位置而紧闭官寨大门。傻瓜...,2021-12-19 20:32:45,2021-12-19 20:32:45
9787020048045,平凡的世界（全三册）,https://img9.doubanio.com/view/subject/l/public/s1141266.jpg,路遥,,小说,人民文学出版社,劳动着是幸福的，无论在哪个时代。《平凡的世界》正白纸黑字的告诉我们这样的人生真谛。它响亮的提出，人，无论在什么位置，无论多么贫寒，只要一颗火热的心在，只要能热爱生活，上帝对他就是平等的。只有作一名劳动者，不把不幸当作负担，才能去做生活的主人，用自己真诚的心去体验，毕竟生命属于我们只有一次。这是一部用生命来写成的书。在亘古的大地与苍凉的宇宙间，有一种平凡的声音，荡气回肠。,2021-12-19 20:33:25,2021-12-19 20:33:25
9787544787352,挽救计划,https://img9.doubanio.com/view/subject/l/public/s33958826.jpg,[美]安迪·威尔,耿辉,小说,译林出版社,科技宅男+跨星系好（基）友联袂上演太空大救援硬核工程风+幽默碎碎念打造年度科幻奥巴马、乔治•R. R. 马丁力荐高司令主演同名电影即将上映👾出版后连续16周雄踞亚马逊科幻畅销榜《挽救计划》英文版于2021年5月4日正式出版，迅疾登陆《纽约时报》《华尔街日报》《洛杉矶时报》等各大畅销书排行榜，至今仍盘踞高位。👾万人五星好评，读者直呼比《火星救援》更燃、更爆；译者坦言阅读体验像是在大脑里进行了“一场烟花表演”👾入选奥巴马2021夏日书单；《冰与火之歌》作者乔治•R. R. 马丁力荐两个世界处于危险之中，一个有能力但有缺陷的人类，一个有能力的外星人，无休止的科学谜题有待解开，人类自身处于危险之中，这本书拥有老科幻迷所喜爱的一切。如果你喜欢满是科学的科幻小说，安迪•威尔就是最适合你的作家。——乔治•R. R. 马丁，《冰与火之歌》作者...,2021-12-19 20:33:27,2021-12-19 20:33:27
