,福尔摩斯探案全集（中）,https://img2.doubanio.com/view/subject/l/public/s2886291.jpg,[英]阿瑟·柯南·道尔,,推理,群众出版社,,2021-12-25 17:17:31,2021-12-25 17:17:31
9787541413575,午夜飞机上的谋杀,https://img1.doubanio.com/view/subject/l/public/s26381979.jpg,沃特斯,西风翻译社,推理,晨光出版社,《午夜飞机上的谋杀》是个非同一般的神秘故事。它的故事特点是你必须自己解开迷底。在整本书里，你必须按顺序去解开迷底，以便理解后面的故事。案件的线索和证据隐藏在字里行间和图画里。,2021-12-25 17:17:41,2021-12-25 17:17:41
9787541413650,金字塔之谜,https://img2.doubanio.com/view/subject/l/public/s3049302.jpg,贾斯廷·萨姆普撰文,西风翻译社,推理,晨光出版社,加西和古斯托在埃及度假时与一伙窃贼不期而遇，从而使他们的假期变成了去追寻一宗古代的财宝的历险。他们的寻踪觅迹把他们引入了一次神秘而又危机四伏的历险。古斯托和加西奋力智胜可疑的约娜.福琼，破译了奇特的符号密码并最终揭开了金字塔本身的一桩阴谋的秘密。,2021-12-25 17:17:53,2021-12-25 17:17:53
9787513338288,无人生还,https://img3.doubanio.com/view/subject/l/public/s33953380.jpg,[英]阿加莎·克里斯蒂,夏陽,推理,新星出版社,十个相互陌生、身份各异的人受邀前往德文郡海岸边一座孤岛上的豪宅。客人到齐后，主人却没有出现。当晚，一个神秘的声音发出指控，分别说出每个人心中罪恶的秘密。接着，一位客人离奇死亡。暴风雨让小岛与世隔绝，《十个小士兵》——这首古老的童谣成了死亡咒语。如同歌谣中所预言的，客人一个接一个死去……杀人游戏结束后，竟无一人生还！,2021-12-25 17:18:04,2021-12-25 17:18:04
9787541413667,绿宝石阴谋,https://img9.doubanio.com/view/subject/l/public/s28039535.jpg,弗勒,西风翻译社,推理,晨光出版社,安妮和乔抵达埃克索蒂基的热带岛屿时，发现他们被推入了一桩罪恶的阴谋之中。他们的朋友波利神秘失踪，匆忙间草草留下一张字条，这就把他们逼上了疲于奔命的追踪调查。他们立即奔向埃克索蒂基的丛林，去探求一种古代文明的奥秘并搜寻一粒神话般的具有奇特魔力的绿宝石。,2021-12-25 17:18:15,2021-12-25 17:18:15
9787541413643,寻找失踪的神庙,https://img9.doubanio.com/view/subject/l/public/s3087095.jpg,[巴西]苏珊娜,西风翻译社,推理,晨光出版社,一个古代的面具被盗，杰克和埃姆与杰出的探险家旺达.法尔一起竭尽全力地设法寻回它。他们和时间赛跑，跋涉于荆棘丛生的丛林中，历尽千辛万苦才到达那座传说中已失踪的神庙并揭开了最终的秘密。,2021-12-25 17:18:26,2021-12-25 17:18:26
9787541413599,星际公共汽车旅行,https://img9.doubanio.com/view/subject/l/public/s1288166.jpg,马克·奥利弗,西风翻译社,推理,晨光出版社,带你到外层空间去进行一次惊心动魄的旅行。跟伊基、汤姆和他们的异类朋友一道出发，去进行一次穿过太空的危险比赛。,2021-12-25 17:18:37,2021-12-25 17:18:37
9787541413582,奇异的恐龙探险,https://img9.doubanio.com/view/subject/l/public/s3087084.jpg,卡伦·多尔比,西风翻译社,推理,晨光出版社,弗雷迪、扎克和乔三个年不知不觉地走入了过去的时空，而且他们发现走进的是可怕的未知的恐龙世界。他们在那里发现了一个史前的阴谋，于是，他们竭力寻找已消失的时间门。行动就这样开始了。,2021-12-25 17:18:48,2021-12-25 17:18:48
9787541413636,寻找海底城市,https://img2.doubanio.com/view/subject/l/public/s3336642.jpg,马克·奥利弗,西风翻译社,推理,晨光出版社,《寻找海底城市》写的是个使人惊心动魄的故事。请参加弗里克、托比和奥利叔叔的活动，他们正从事一项危机四伏的冒险。他们扬帆去寻找传说中的一座沉没的城市，在波涛汹涌的海上和海底遭遇到了种种危险。,2021-12-25 17:18:59,2021-12-25 17:18:59
9787505921849,神探福尔摩斯（全四册）,https://img2.doubanio.com/view/subject/l/public/s3030942.jpg,[英]阿瑟·柯南·道尔,岳文楚、周可等,推理,中国文联出版公司,这是福尔摩斯很老的一个版本了，我在小学时候买的，一直珍藏着，现在发现已经无法在网络上找到其封面，有点遗憾。小时候一口气读完了四本，那种阅读能力让我至今怀念。    这套书是根据英国企鹅版《歇洛克·福尔摩斯探案全集》（Complete Sherlock Holmes）翻译。在忠实于原著的基础上，译者力求做到通俗易懂，符合中国读者的口味。在翻译过程中，参考了群众出版社1980年译本。    以上是书本前言里的话，我觉得很实在很真实，以我那种小学的水平都能读懂并读得津津有味，那就真是不易了，这样的好书值得我们收藏。,2021-12-25 17:19:10,2021-12-25 17:19:10
9787501425457,福尔摩斯探案全集（共4册）,https://img3.doubanio.com/view/subject/l/public/s5822610.jpg,阿·柯南·道尔,丁钟华,推理,群众出版社,本书收入英国著名的侦探小说家阿•柯南道尔的《血字的研究》、《四签名》、《巴斯克维尔的猎犬》、《恐怖谷》、《冒险史》、《回忆录》、《归来记》、《最后致意》、《新探安》等力作，它们被推为经典之作。 作者以严密的结构、跌宕的情节，成功地塑造了福尔摩斯机智神勇的大侦探形象。从《血字的研究》1887年出版以来，经历了一百多年，他的作品仍常盛不衰。　　阿瑟•柯南•道尔塑造的福尔摩斯形象是身材瘦削、高大健步、鹰钩鼻子、头戴猎帽、肩披风衣、口衔烟斗，他冷静理智、机智勇敢、博学多闻、细致耐心、追求真理、坚持原则，他神秘的外表、零乱的书桌，独特的穿着、千变万化的乔装掩饰、足智多谋的头脑，锲而不舍的作风、济弱扶贫但尊重法理的侠义精神，简直就是正义的化身，在各个时代各个国家都是人们心中的英雄。故事合乎逻辑的推理引人入胜，结构起伏跌宕，人物形象鲜明，故事曲折生动，涉及当时英...,2021-12-25 17:19:27,2021-12-25 17:19:27
9787201088471,夏洛克·福尔摩斯全集,https://img2.doubanio.com/view/subject/l/public/s27891583.jpg,[英]阿瑟·柯南·道尔,,推理,天津人民出版社,柯南道尔（1859-1930）生于苏格兰爱丁堡附近的皮卡地普拉斯，父亲是政府建工部的公务员。青海年时期在教会学校学习，的来在爱丁堡大学攻读医学，一八八五年获医学博士学位。一九0二年，因对英国在南非战争的政策辩护而被封爵。,2021-12-25 17:19:41,2021-12-25 17:19:41
