book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
,毛泽东选集（第一卷）,https://img2.doubanio.com/view/subject/l/public/s24511492.jpg,毛泽东,,政治,人民出版社,69年横排大字版第一卷http://book.douban.com/subject/20277858/第二卷http://book.douban.com/subject/20444994/第三卷http://book.douban.com/subject/20445009/第四卷http://book.douban.com/subject/20445024/,2021-12-21 18:40:44,2021-12-21 18:40:44
9787508089119,论僭政,https://img1.doubanio.com/view/subject/l/public/s33316938.jpg,[美]施特劳斯,彭磊,政治,华夏出版社,《论僭政》中文版曾在2006年出版，此次全部重新翻译，并依照英文新版（芝加哥大学2013年版）做了增补。《论僭政》包含施特劳斯对色诺芬《希耶罗》做的义疏《希耶罗与僭主》以及施特劳斯在法国的老友科耶夫的评论《僭政与智慧》，还有两人的部分通信。由于触发了与科耶夫的争论，《论僭政》也极其有助于理解施特劳斯的古典立场何以与现代立场对立，揭示了古今政治科学的根本差异，振聋发聩。因此《论僭政》不再只是施特劳斯对一部古典作品的解读，还展现了施特劳斯与科耶夫之间深刻的思想争论，也记录了两人由年轻到年老的友谊。凡此种种，使得《论僭政》当之无愧地成为二十世纪的经典。,2021-12-21 18:40:51,2021-12-21 18:40:51
9787532769896,当代政治哲学,https://img1.doubanio.com/view/subject/l/public/s28317639.jpg,[加拿大]威尔·金里卡,刘莘,政治,上海译文出版社,“历经一百多年而尚在进行之中的中国社会巨变依然保持其前景不明朗的特点，这自然无法满足人们对良序而稳定社会的要求，而政治哲学的正义目标的预期后果却正在于这样一种社会”，这为政治哲学在中国的发展提供了适宜的土壤。可以说，正义的问题是政治哲学家关注的核心问题，围绕对这一问题的不同理解和回答，政治哲学史呈现为异彩纷呈的图景。然而，自功利主义出现以来，各派理论不管沿着何种路径展开其自身的逻辑，都不可能绕过对功利主义的回应、批判。罗尔斯的《正义论》出版后，当代政治哲学的版图重组，不仅历史上既已形成的功利主义、自由主义等各派理论的坐标发生了根本性的变化，而且伴随着人们围绕《正义论》一书所展开的理论论辩，公民资格理论、社群主义、多元文化主义和女权主义等理论派别异军突起，从根本上改变了功利主义占主导地位的格局。《当代政治哲学》一书正是对这种理论场景的呈现。作者威...,2021-12-21 18:40:59,2021-12-21 18:40:59
9780563206651,The Complete Yes Minister,https://img2.doubanio.com/view/subject/l/public/s6648503.jpg,JonathanLynn,,政治,BBCBooks,"We have had diaries from other Cabinet Ministers, but none I    think which have been quite so illuminating... It is a    fascinating diary... It is shorter than Barbara Castle's... and    although it is rather more accurate than Dick Crossman's, it   is distinctly funnier' - Lord Allen of Abbeydale (formerly   Permanent Secretary at the Home Office) in  The Times       'It has...",2021-12-21 18:41:10,2021-12-21 18:41:10
,中国社会各阶级的分析,https://img2.doubanio.com/view/subject/l/public/s33624713.jpg,毛泽东,,政治,人民出版社,,2021-12-21 18:41:23,2021-12-21 18:41:23
9780563207733,The Complete Yes Prime Minister,https://img9.doubanio.com/view/subject/l/public/s4812096.jpg,JonathanLynn,,政治,BBCBooks,"Scalpel-sharp in observation, deceptively simple    in construction... at its frequent best    Yes Prime Minister  exhibits the classical perfection of a    Mozart sonata' - Richard Last in  The Times       'Its closely observed portrayal of what goes on in the   corridors of power has given me hours of pure joy'   - Rt Hon. Margaret Thatcher MP      ' Yes Prime Minister ... is...",2021-12-21 18:41:37,2021-12-21 18:41:37
9787101115406,先秦政治思想史,https://img9.doubanio.com/view/subject/l/public/s30016076.jpg,梁启超,,政治,中华书局,本书原为1922年梁启超先后在北京政法专门学校和东南大学讲课的内容，经整理出版。本书是梁启超研究先秦思想史的代表作，亦体现了梁启超晚年的文化观和政治思想史。梁氏以中国古代哲学思想的根原为先秦哲学思想的背景，然后从先秦诸子中提出儒、道、墨、法四家，以为先秦诸子的菁华尽在于此。也体现了梁启超晚年的政治思想观。,2021-12-21 18:41:43,2021-12-21 18:41:43
9787519268855,守望者,https://img3.doubanio.com/view/subject/l/public/s33653410.jpg,[英]阿兰·摩尔,王周凌,政治,世界图书出版公司,《守望者》不论在漫画界与主流媒体都备受赞誉，被视为漫画中的经典作品。《守望者》是美国《时代周刊》2005年评选出的“1923年至今百部zui佳英文小说”之一，同时它以漫画这种作品形式获得了雨果奖（有“科幻艺术界的诺贝尔奖”之称）。它的情节错综复杂，画面华丽优美，具备史诗般宏大的主题，称得上是图画小说的里程碑。作者阿兰·摩尔在《守望者》中反映出了对于冷战时期美国公众焦虑的深思，并对传统的超级英雄观念进行了批判。《守望者》描绘了一段美国20世纪40年代至80年代之间的虚构历史，此时的美国正处于与苏联爆发核战争的危机边缘。那是一个特殊的年代，虽然超级英雄曾帮助美国赢得了越南战争，但自发性的蒙面英雄已被法律明文禁止，蒙面英雄被宣布为不法分子，他们的一切侠义行为都成了不法行为。因此，大多数超级英雄纷纷退休，少数则继续为政府工作。漫画中的故事聚焦于几位主人公的...,2021-12-21 18:41:51,2021-12-21 18:41:51
9787544747370,辩论,https://img1.doubanio.com/view/subject/l/public/s27323559.jpg,[美]詹姆斯·麦迪逊,尹宣,政治,译林出版社,本书是美国宪法的缔造者麦迪逊记录的美国制宪会议的全过程，由著名翻译家尹宣先生翻译整理，有很高之学术价值。本书记载了1787年美国建国之父们设计联邦政府的全过程，记录了代表们在每天会议上的发言。全书按麦迪逊在制宪会议期间的原始手稿排印，保留历史原貌。麦迪逊的记录自始至终、一天不缺，写法类似连续剧，记下了历史人物（代表们）在特定场景（每天不断深入的辩论）上的台词（发言）。,2021-12-21 18:41:58,2021-12-21 18:41:58
9780873327619,The Power of the Powerless,https://img9.doubanio.com/view/subject/l/public/s29502284.jpg,VaclavHavel,,政治,Routledge,"The Power of the Powerless (Czech: Moc bezmocných) is an expansive political essay written in October 1978 by the Czech dramatist, political dissident and later politician, Václav Havel. The essay dissects the nature of the communist regime of the time, life within such a regime and how by their very nature such regimes can create dissidents of ordinary citizens. The essay goes...",2021-12-21 18:42:13,2021-12-21 18:42:13
