book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787303183500,珍爱生命,https://img2.doubanio.com/view/subject/l/public/s33523112.jpg,刘文利主编,,教育,北京师范大学出版社,《珍爱生命—小学生性健康教育读本》（五年级上册）共分三个单元：（1）家庭与朋友；（2）生活与技能；（3）性别与权利。在“家庭与朋友”单元，有“建立并增进健康的友谊”和“消除歧视”2个主题：友谊是人们在相互理解、相互信任的基础上建立起来的亲密情谊。友谊给人以理解和信任，给人以快乐和力量，使人得到鼓舞，获得进步。友谊是许多人一生都在追求的美好关系。人生来都是平等的，每个公民都享有平等的权利。瑞典科学家、发明家诺贝尔曾经在他的遗嘱里说道：“歧视别人，是最愚昧、最无知的行为。”坚持人人平等，反对歧视，是构建和谐社会的基本前提。○怎样建立并增进健康的友谊？○怎样消除歧视？在“生活与技能”单元，有“学会做负责任的决定”和“学会拒绝”2个主题：每个人每天都要做决定，如穿什么衣服、吃什么食物、和谁交朋友等。有些决定很容易，有些决定需要反复权衡。做负责任...,2021-12-23 19:23:38,2021-12-23 19:23:38
9787108070753,什么是教育,https://img9.doubanio.com/view/subject/l/public/s33864786.jpg,[德]卡尔·雅斯贝尔斯,童可依,教育,生活·读书·新知三联书店,德国哲学家雅斯贝尔斯关于教育的思想汇编，涉及了教育的本质、类型、任务、方式、可能性与边界，特别是大学教育的理念和任务，等等。书中充盈着雅氏关于教育的洞见，如真正的教育不是知识的堆集和智识的训练，而是人的教育，灵魂的教育，整全的教育；他提倡苏格拉底式的教育方式，强调师生间的平等尊重、互相照亮；他强调教育的目的是保持独立自由的个人意志以及对真理的不懈追求，并提出了本真的教育的方法。,2021-12-23 19:23:44,2021-12-23 19:23:44
9787303121793,珍爱生命,https://img2.doubanio.com/view/subject/l/public/s33520412.jpg,刘文利编,,教育,北京师范大学出版社,《珍爱生命—小学生性健康教育读本》（一年级下册）共分三个单元：（1）身体发育；（2）性与健康行为；（3）性与生殖健康。在“身体发育”单元，有“认识身体”和“珍爱生命”2个主题：人们认识世界，是从认识自己开始的。了解自己，认识自己，是为了更好的接纳自己、热爱自己。“认识身体”帮助儿童了解身体一些重要器官（包括头部、胸部和腹部的主要器官以及生殖器官）的名称和位置，认识部分生殖器官的功能，从而开启儿童对身体的初步认识，让儿童形成喜欢自己的身体、爱护身体器官的意识。了解生命的诞生，懂得珍爱生命、敬畏生命，能使我们更好地珍视生命。“珍爱生命”不仅帮助儿童了解生命的诞生源于父母的相爱，理解生命是美好的，是最宝贵的，是需要珍惜的，还使儿童能够体验亲情，感恩父母，发自内心地表达对父母养育的感激之情。在“性与健康行为”单元，有“探索身体奥秘”和“养成良好的卫生...,2021-12-23 19:23:50,2021-12-23 19:23:50
9787518402250,0-8岁儿童纪律教育,https://img1.doubanio.com/view/subject/l/public/s28613468.jpg,[美]MarjorieV.Fields,蔡菡,教育,中国轻工业出版社,本书是关于儿童纪律教育的经典著作和畅销书。其第四版的中文版《儿童纪律教育—建构性指导与规训》在我国出版以后，得到了读者的喜爱和广泛好评。为了更好地服务读者，我们又引进出版了其最新版的中文版。作者将“纪律教育”定义为一种在提高自尊的同时教授自主和自律的方法。秉持这一理念，作者考察了0—8岁儿童的生理、情感、智力与社会性发展的阶段，按照最积极到最消极的递减顺序介绍了各种纪律教育方法，然后分析了各种纪律问题的典型原因，并将它们与相应的纪律教育方法联系起来。书中列举并剖析了大量的案例，注重根据原因寻找解决策略，为读者提出了非常专业且具体的心理学建议。该书的可读性和实用性俱佳，是广大教师和家长教育儿童的优秀指导书。,2021-12-23 19:23:57,2021-12-23 19:23:57
9787301266168,数学家讲解小学数学,https://img1.doubanio.com/view/subject/l/public/s30026748.jpg,[美]伍鸿熙,赵洁,教育,北京大学出版社,本书面向中小学数学教师，强调准确的数学知识与恰当的讲授方法. 本书思路清晰，由浅入深，循序渐进，全面深入地讨论了小学数学课程中关于数的各个主题：自然数、整数、分数、有理数和实数.作者以数学专业的水准，揭示了中小学生数学学习中遇到的诸多疑问（比如“为什么负负得正”）的本质，并对容易混淆的概念都以易理解的方式给予解释. 这本书解决的一个重要的根本问题：怎样有效地教授小学数学.本书将是每位中小学数学教师不可或缺的良师益友.,2021-12-23 19:24:04,2021-12-23 19:24:04
9787303114863,珍爱生命,https://img3.doubanio.com/view/subject/l/public/s33520370.jpg,刘文利主编,,教育,北京师范大学出版社,《珍爱生命—小学生性健康教育读本》（一年级上册）共分三个单元：（1）家庭与朋友；（2）生活与技能；（3）性别与权利。在“家庭与朋友”单元，有“热爱家庭”和“珍视友谊”2个主题。人与人之间的关系在儿童的生活中起着重要的作用。儿童刚进入小学一年级，对陌生的环境既感觉到新鲜又有些不安。“热爱家庭”和“珍视朋友”两个主题，在挖掘儿童已有的对家庭和友谊的经验上，使他们通过观察、体验和思考，更加深入地理解家庭对生活的重要意义以及友谊的宝贵。“热爱家庭”帮助儿童在热爱家庭的情感基础上，了解家庭的概念，理解家庭成员都需要遵守由家庭成员共同制定的家庭规矩，并学会如何尊重父母。“珍视朋友”帮助儿童了解什么是朋友，什么人可以成为朋友；知道友谊的可贵。在掌握学会与朋友友好相处的能力上，体验拥有朋友的快乐和幸福，形成珍视友谊的意识。在“生活与技能”单元，有“学做决定...,2021-12-23 19:24:10,2021-12-23 19:24:10
9787201141251,爱的教育,https://img3.doubanio.com/view/subject/l/public/s29944640.jpg,【意】艾德蒙多·德·亚米契斯,刘颖,教育,天津人民出版社,"来自意大利的四年级小学生恩里科，在十月的一个清晨开始了自己的新学年。在这一年的学校生活中，恩里科经历了许多有趣的或感人的小故事，在朋友的陪伴、老师的教导与父母的关爱下，他逐渐懂得了“爱”的奥义……全书以一个以孩子的口吻、孩子的笔触、孩子的眼光来写,以日记的形式，记录了从开学到一学年结束共10个月里，所发生的各式各样的小故事，父母在他日记本上写的劝诫启发性的文章，以及10则老师在课堂上宣读的“每月故事”。在“爱”的教育下，恩里科终会成长为一个善良温柔、懂得感恩的人，而每一个读过这本书的孩子，也将会因此而受益终身。λ	世界儿童文学最高奖——国际安徒生奖“青少年必读书”λ	全球总销量2000万册，创造童书销量的奇迹λ	教育部指定中小学语文新课标课外阅读书目λ	作者亚米契斯入选美国《时代周刊》评选的“人类十大偶像”之一λ	首位国际麦克米伦金奖华...",2021-12-23 19:24:19,2021-12-23 19:24:19
9787545550757,爱在最深切的关头,https://img1.doubanio.com/view/subject/l/public/s33472058.jpg,傅雷,,教育,天地出版社,本书由傅雷夫妇于1954年至1966年写给孩子的书信编撰而成。傅雷家书距今已有半个多世纪，它感人至深的内容和教育意义闪耀着永恒的光芒。在这本书中，傅雷夫妇谈到了音乐、绘画、文学，以及生活的方方面面。他们饱含着无限的深情，以温情的笔触在家长里短里道尽对孩子的挂念和关心，在字斟句酌中给予孩子最深切的教诲。不同于市面其他以学生为主要读者的版本，本书是第一本面向大众读者的版本，精选了122封家信，按照人生、艺术、修养、感情四大主题来进行分类。我们随书赠送一封傅雷亲笔的家信，不但再现了家书原貌，还能让读者在作者的手迹中，细细体味字里行间浓厚的父子情。另外，我们甄选了齐白石老人的多幅名画，作为本书的点缀，画和文字的结合一定会让你在阅读之余体会到不一样的欣喜。本书也是教育部推荐必读经典，各大书单推荐阅读版本！钱锺书、杨绛、金庸、施蛰存等文坛大师推荐阅读！,2021-12-23 19:24:24,2021-12-23 19:24:24
9787513341547,陪孩子玩的100种游戏,https://img9.doubanio.com/view/subject/l/public/s33741776.jpg,颜永祺,,教育,新星出版社,很多父母内心都想给孩子高质量的陪伴，但多数时候却是这样的：陪着陪着，就觉得太无聊而无法继续；一边陪孩子，一边玩手机；除了外出遛娃，给娃读绘本，不知道还能一起玩点啥；不知道怎么跟上孩子的逻辑，接住孩子说的话；……如果你在带娃的过程中也有这些困惑，这本书一定适合你。书里提供了100种游戏方法，有肢体类的、感官类的、扮演类的，内容丰富多样，都非常简单易操作，且大部分游戏都不需要道具，你可以随时随地和孩子玩起来，再也不用为和孩子玩什么而发愁了。在你之前，已经有很多父母和孩子试玩过书里游戏，都说孩子玩的停不下来，玩的非常开心。这本书厉害的地方，不止于此，它还有一个非常重要的功能，就是在玩游戏的同时能够培养孩子的综合能力。这些游戏不是瞎玩，而是借鉴了训练演员时的科学、系统、有效的方法，将培养孩子能力的训练方式开发成了戏剧游戏，让孩子在玩的同时，不...,2021-12-23 19:24:31,2021-12-23 19:24:31
9787563383856,写给孩子的哲学启蒙书（共6册）,https://img2.doubanio.com/view/subject/l/public/s28000772.jpg,(法)碧姬·拉贝,刘岩,教育,广西师范大学出版社,《写给孩子的哲学启蒙书(共6册)》在法国出版后获得巨大成功，在国际书界也引起反响，现已被翻译成十五种语言文字。全套书共六卷。TOME　1困难的是不能明白！我们死去，是因为我们活着！所有的人都渴望得到众神的帮助！这是为你好！对自己诚实，并不容易！打败一切幸福的小小敌人！所有的生命都具有一种价值，只是其价值有所不同！想使自己痛苦是很容易的！在世界上所有的文化中，人们都谈到神！弄明白是对还是错，这才合乎人性！我们都有权利痛苦！有的时候，我们的自由妨碍了别人的自由！幸福不是一个运气的问题！我们不是机器人！服从并不意味着失去自由！ TOME　2对阿姨说你好！要想玩游戏，就必须要有游戏规则！这不是我的错！公正的法律，必然是通用的法律！暴力是一个怪圈！这不公平！这不公平！这不公平！抓贼呀！没有工作也很艰难！和平总是很脆弱的！即使我们不知道的时候，我们常常也...,2021-12-23 19:24:37,2021-12-23 19:24:37
