book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787506291651,微积分和数学分析引论-第1卷,https://img9.doubanio.com/view/subject/l/public/s27912434.jpg,RichardCourant,,数学,世界图书出版公司,微积分和数学分析引论（第1卷 英文版），ISBN：9787506291651，作者：（美）库兰特,2021-12-21 15:42:37,2021-12-21 15:42:37
9780201558029,Concrete Mathematics,https://img3.doubanio.com/view/subject/l/public/s3224520.jpg,RonaldL.Graham,,数学,Addison-WesleyProfessional,"This book introduces the mathematics that supports advanced computer programming and the analysis of algorithms. The primary aim of its well-known authors is to provide a solid and relevant base of mathematical skills - the skills needed to solve complex problems, to evaluate horrendous sums, and to discover subtle patterns in data. It is an indispensable text and reference not...",2021-12-21 15:42:44,2021-12-21 15:42:44
9787115208835,复分析,https://img9.doubanio.com/view/subject/l/public/s3831154.jpg,"(美)尼达姆(Needham,T.)",齐民友,数学,人民邮电出版社,《复分析:可视化方法》是复分析领域的一部名著，开创了数学领域的可视化潮流，自首次出版以来，已重印了十多次，深受世界读者好评。《复分析:可视化方法》用一种真正不同寻常的、独具创造性的视角和可以看得见的论证方式解释初等复分析的理论，公开挑战当前占统治地位的纯符号逻辑推理。作者通过大量的图示使原本比较抽象的数学概念，变得直观易懂，读者在透彻理解理论的同时，还能充分领略数学之美。-------目录第1章 几何和复算术. 11.1 引言 11.1.1 历史的概述 11.1.2 庞贝利的＂奇想＂ 31.1.3 一些术语和记号 51.1.4 练习 61.1.5 符号算术和几何算术的等价性 71.2 欧拉公式 81.2.1 引言 81.2.2 用质点运动来论证 91.2.3 用幂级数来论证 101.2.4 用欧拉公式来表示正弦和余弦 1...,2021-12-21 15:42:51,2021-12-21 15:42:51
9787040292213,实变函数论,https://img9.doubanio.com/view/subject/l/public/s4658105.jpg,那汤松,徐瑞云,数学,高等教育出版社,实变函数论（第3版 第5版），ISBN：9787040292213，作者：（俄罗斯）那汤松 著，徐瑞云 译,2021-12-21 15:43:01,2021-12-21 15:43:01
9780691113845,Fourier Analysis,https://img1.doubanio.com/view/subject/l/public/s7035217.jpg,EliasM.Stein,,数学,PrincetonUniversityPress,"This first volume, a three-part introduction to the subject, is intended for students with a beginning knowledge of mathematical analysis who are motivated to discover the ideas that shape Fourier analysis. It begins with the simple conviction that Fourier arrived at in the early nineteenth century when studying problems in the physical sciences - that an arbitrary function can...",2021-12-21 15:43:07,2021-12-21 15:43:07
9780471317166,Real Analysis,https://img1.doubanio.com/view/subject/l/public/s3584918.jpg,GeraldB.Folland,,数学,Wiley,"An in-depth look at real analysis and its applications-now expanded and revised.This new edition of the widely used analysis book continues to cover real analysis in greater detail and at a more advanced level than most books on the subject. Encompassing several subjects that underlie much of modern analysis, the book focuses on measure and integration theory, point set topolo...",2021-12-21 15:43:17,2021-12-21 15:43:17
9787506282383,实分析,https://img1.doubanio.com/view/subject/l/public/s5871387.jpg,EliasM.Stein,,数学,世界图书出版公司,"《实分析》由在国际上享有盛誉普林斯大林顿大学教授Stein等撰写而成，是一部为数学及相关专业大学二年级和三年级学生编写的教材，理论与实践并重。为了便于非数学专业的学生学习，全书内容简明、易懂,读者只需掌握微积分和线性代数知识。关于《实分析》的详细介绍，请见“影印版前言”。",2021-12-21 15:43:23,2021-12-21 15:43:23
9780961408893,Introduction to Linear Algebra (3/e),https://img9.doubanio.com/view/subject/l/public/s3259735.jpg,GilbertStrang,,数学,WellesleyCambridgePress,"Gilbert Strang is a Professor of Mathematics at Massachusetts Institute of Technology and an Honorary Fellow of Balliol College, of the University of Oxford, UK. His current research interests include linear algebra, wavelets and filter banks, applied mathematics, and engineering mathematics. He is the author or co-author of six textbooks and has published a monograph with Geor...",2021-12-21 15:43:31,2021-12-21 15:43:31
9787115435590,普林斯顿微积分读本(修订版),https://img2.doubanio.com/view/subject/l/public/s29114473.jpg,[美]阿德里安·班纳,杨爽,数学,人民邮电出版社,"本书阐述了求解微积分的技巧, 详细讲解了微积分基础、极限、连续、微分、导数的应用、积分、无穷级数、泰勒级数与幂级数等内容，旨在教会读者如何思考问题从而找到解题 所需的知识点, 着重训练大家自己解答问题的能力.本书适用于大学低年级学生、高中高年级学生、想学习微积分的数学爱好者以及广大数 学教师. 本书既可作为教材、习题集, 也可作为学习指南, 同时还有利于教师备课.",2021-12-21 15:43:38,2021-12-21 15:43:38
9787115308108,具体数学,https://img3.doubanio.com/view/subject/l/public/s26372180.jpg,[美]RonaldL.Graham,张凡,数学,人民邮电出版社,本书是一本在大学中广泛使用的经典数学教科书。书中讲解了许多计算机科学中用到的数学知识和技巧，教你如何把一个实际问题一步步演化为数学模型，然后通过计算机解决它，特别着墨于算法分析方面，其主要内容涉及和式、整值函数、数论、二项式系数、特殊的数、生成函数、离散概率、渐近式等，都是编程所必备的知识。书中不仅讲述了数学问题和技巧，而且教导解决问题的方法，解说深入浅出，妙趣横生。大师们诙谐、细腻的笔触，描绘着数学工作中的欢乐和忧伤，那些或平淡、或深刻、或严肃、或幽默的涂鸦，更让我们在轻松愉悦的心境下体会数学的美妙。本书面向从事计算机科学、计算数学、计算技术诸方面工作的人员，以及高等院校相关专业的师生。,2021-12-21 15:43:50,2021-12-21 15:43:50
