book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787559830401,平如美棠：我俩的故事,https://img2.doubanio.com/view/subject/l/public/s33910901.jpg,饶平如,,爱情,广西师范大学出版社,“海并不深，怀念一个人比海还要深。”这是饶平如一生的故事。饶平如87岁时，他患有老年痴呆症的妻子毛美棠去世。他们一生坎坷，曾被命运长久分离，到了暮年才有一个安定的居所，但是老病相催，美棠身患重病渐渐失去记忆，在平如的悉心照料下还是先走一步。那之后的半年，平如无以排遣，每日睡前醒后，都是难过，只好流连旧地，聊以安慰。后来他一笔一笔，画下了他俩的故事，构建和存留下20世纪一个普通中国家庭的记忆，也刻画了飘摇风雨中，中国人美好的精神世界。2020年4月，饶平如在上海去世，与美棠天上重逢。《平如美棠》纪念修订版按平如手稿做了内容修订，朱赢椿重新设计封面，以纪念这段“一见钟情，一生眷恋”的爱情。,2021-12-24 23:11:02,2021-12-24 23:11:02
9787506014472,三毛·撒哈拉之恋,https://img1.doubanio.com/view/subject/l/public/s4354148.jpg,徐静波,,爱情,东方出版社,12开精装铜版纸彩印为纪念著名台湾女作家三毛逝世十周年，东方出版社推出了一本印刷精美的大型纪念写真集《三毛·撒哈拉之恋》。该写真集由旅居日本的三毛著作代理人徐静波编著，共150余幅照片，大多是三毛生前精选后交给编者的，不少照片的背后还有三毛亲笔题写的说明。这些珍贵的照片反映了三毛从幼年逃学到留学德国、从浪迹撒哈拉到孀居台湾，以及访游祖国大陆直至逝世的人生全貌。其中30余幅三毛与丈夫荷西从恋爱到结婚的生活照，揭开了三毛浪漫婚恋之谜。该写真集还采用原版影印的方式，收录了7封三毛书信的手迹，从这些书信中可以窥视出她人生最后岁月和首次访问祖国大陆的真实心境。,2021-12-24 23:11:13,2021-12-24 23:11:13
9781447264538,Gone With The Wind,https://img9.doubanio.com/view/subject/l/public/s28041004.jpg,MargaretMitchell,,爱情,PanBooks,,2021-12-24 23:11:25,2021-12-24 23:11:25
9787533902896,乱世佳人,https://img1.doubanio.com/view/subject/l/public/s3235929.jpg,[美国]玛格丽特·米切尔,黄怀仁,爱情,浙江文艺出版社,美国女作家玛格丽特以一本《飘》倾倒亿万读者，并在世界文坛上占有重要地位。玛格丽特一生只写了一本书，这本书让她扬名天下。《飘》的书名取自美国诗人欧内斯特·道森的诗句“随风而去” (Gonewiththewind)。从1936年书出版之日起，这本以美国南北战争为背景的浪漫史，便打破当时所有出版纪录，1937年获得普利策奖。小说被翻译成数十种文字，流行世界，畅销不衰。,2021-12-24 23:11:41,2021-12-24 23:11:41
9787535450500,飘,https://img2.doubanio.com/view/subject/l/public/s6535152.jpg,玛格丽特·米切尔,范纯海,爱情,长江文艺出版社,《世界文学名著典藏:飘(全译插图本)(套装上下册)》包括《世界文学名著典藏:飘(上册)(全译插图本)》、《世界文学名著典藏:飘(下册)(全译插图本)》。《世界文学名著典藏:飘(全译插图本)(套装上下册)》之所以让人爱不释手、百读不厌，很大程度是因为斯佳丽身上所散发出的那种难以抵挡的魅力。精明的她对爱情却无比单纯。看着她那么固执，甚至盲目地爱着自己虚构出的一尊没有生命的偶像，看着她和真爱的瑞特渐行渐远，我们在叹息的同时总会被她对阿希礼的痴迷、傻气所感动，虽然这爱是个错误。,2021-12-24 23:11:59,2021-12-24 23:11:59
9781400096046,Before Sunrise & Before Sunset,https://img2.doubanio.com/view/subject/l/public/s1447733.jpg,理查德·林克莱特,,爱情,Vintage,"In one volume, the screenplays to two contemporary classics, directed by Richard Linklater, and starring Ethan Hawke and Julie Delpy, about the immediate and life-altering attraction between two strangers.On a train from Budapest to Vienna, Jesse, a young American student, at the end of a romance and his European trip, meets Celine, a young French woman. They are immediately a...",2021-12-24 23:12:13,2021-12-24 23:12:13
9787501253135,《山河人间》绘本,https://img9.doubanio.com/view/subject/l/public/s29418496.jpg,伊吹五月,,爱情,世界知识出版社,网络游戏《剑侠情缘三》同人漫画《山河人间》绘本,2021-12-24 23:12:24,2021-12-24 23:12:24
9789578531222,妹妹人生（上）,https://img1.doubanio.com/view/subject/l/public/s33554849.jpg,入間人間,呂郁青,爱情,台灣角川,暑假結束，妹妹哭著找我討救兵。那是她六歲，我十歲時的事。難得主動靠近的妹妹，手上拿著繪圖日記本。「幫我……」她目光一與我對上，便戰戰兢兢地朝我遞出日記本，小聲地如此說道。我想，我和妹妹的關係，就是從這個瞬間開始發展的。愛哭、沒有毅力、只會發呆、沒有朋友，讓人操心，無法放著不管的存在。──那就是我的妹妹。「因為哥─哥幾乎是我人生的全部嘛。」始於幼年期，經歷成長期，於成年之後做出選擇的人生──描述難分難捨的兩人的「一生」，略帶苦澀的兄妹愛情喜劇。,2021-12-24 23:12:35,2021-12-24 23:12:35
9781786495259,Call Me By Your Name,https://img9.doubanio.com/view/subject/l/public/s29640834.jpg,AndréAciman,,爱情,AtlanticBooks,"During a restless summer on the Italian Riviera, a powerful romance blooms between seventeen-year-old Elio and his father's house guest, Oliver. Unrelenting currents of obsession and fear, fascination and desire threaten to overwhelm the lovers who at first feign indifference to the charge between them. What grows from the depths of their souls is a romance of scarcely six week...",2021-12-24 23:12:49,2021-12-24 23:12:49
9787544704601,飘（上.下卷）,https://img2.doubanio.com/view/subject/l/public/s5885093.jpg,[美国]玛格丽特·米切尔,李美华,爱情,译林出版社,小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环境的恶化，郝思嘉的叛逆个性越来越丰满，越鲜明，在一系列的的挫折中她改造了自我，改变了个人甚至整个家族的命运，成为时代时势造就的新女性的形象。作品在描绘人物生活与爱情的同时，勾勒出南北双方在政治，经济，文化各个层次的异同，具有浓厚的史诗风格，堪称美国历史转折时期的真实写照，同时也成为历久不衰的爱情经典。,2021-12-24 23:13:14,2021-12-24 23:13:14
