book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9780201433074,Advanced Programming in the UNIX(R) Environment (2nd Edition),https://img9.doubanio.com/view/subject/l/public/s2594996.jpg,W.RichardStevens,,编程,Addison-WesleyProfessional,"""Stephen Rago's update is a long overdue benefit to the community of professionals using the versatile family of UNIX and UNIX-like operating environments. It removes obsolescence and includes newer developments. It also thoroughly updates the context of all topics, examples, and applications to recent releases of popular implementations of UNIX and UNIX-like environments. And ...",2021-12-21 15:35:41,2021-12-21 15:35:41
9780130340740,Computer Systems,https://img1.doubanio.com/view/subject/l/public/s2547828.jpg,RandalE.Bryant,,编程,PrenticeHall,"This book explains the important and enduring concepts underlying all computer systems, and shows the concrete ways that these ideas affect the correctness, performance, and utility of application programs. The book's concrete and hands-on approach will help readers understand what is going on &#147;under the hood&#148; of a computer system.  This book focuses on the key concep...",2021-12-21 15:35:47,2021-12-21 15:35:47
9780134685991,Effective Java,https://img2.doubanio.com/view/subject/l/public/s29582181.jpg,JoshuaBloch,,编程,Addison-WesleyProfessional,The Definitive Guide to Java Platform Best Practices—Updated for Java 9,2021-12-21 15:35:52,2021-12-21 15:35:52
9787111321330,深入理解计算机系统（原书第2版）,https://img9.doubanio.com/view/subject/l/public/s4510534.jpg,[美]RandalE.Bryant,龚奕利,编程,机械工业出版社,本书从程序员的视角详细阐述计算机系统的本质概念，并展示这些概念如何实实在在地影响应用程序的正确性、性能和实用性。全书共12章，主要内容包括信息的表示和处理、程序的机器级表示、处理器体系结构、优化程序性能、存储器层次结构、链接、异常控制流、虚拟存储器、系统级I/O、网络编程、并发编程等。书中提供大量的例子和练习，并给出部分答案，有助于读者加深对正文所述概念和知识的理解。本书的最大优点是为程序员描述计算机系统的实现细节，帮助其在大脑中构造一个层次型的计算机系统，从最底层的数据在内存中的表示到流水线指令的构成，到虚拟存储器，到编译系统，到动态加载库，到最后的用户态应用。通过掌握程序是如何映射到系统上，以及程序是如何执行的，读者能够更好地理解程序的行为为什么是这样的，以及效率低下是如何造成的。本书适合那些想要写出更快、更可靠程序的程序员阅读，也适合作为高...,2021-12-21 15:35:57,2021-12-21 15:35:57
9787111561279,深入理解计算机系统（英文版·第3版）,https://img1.doubanio.com/view/subject/l/public/s29430699.jpg,[美]RandalE.Bryant,,编程,机械工业出版社,本书是一本将计算机软件和硬件理论结合讲述的经典教材，内容涵盖计算机导论、体系结构和处理器设计等多门课程。本书*大的特点是为程序员描述计算机系统的实现细节，通过描述程序是如何映射到系统上，以及程序是如何执行的，使读者更好地理解程序的行为，找到程序效率低下的原因。和第二版相比，本版内容上最大的变化是，从以IA32和x86-64为基础转变为完全以x86-64为基础。主要更新如下：· 基于x86-64，大量地重写代码，首次介绍对处理浮点数据的程序的机器级支持。· 处理器体系结构修改为支持64位字和操作的设计。· 引入更多的功能单元和更复杂的控制逻辑，使基于程序数据流表示的程序性能模型预测更加可靠。· 扩充关于用GOT和PLT创建与位置无关代码的讨论，描述了更加强大的链接技术（比如库打桩）。· 增加了对信号处理程序更细致的描述，包括异步信号安全的函...,2021-12-21 15:36:02,2021-12-21 15:36:02
9780262011532,Structure and Interpretation of Computer Programs - 2nd Edition (MIT),https://img3.doubanio.com/view/subject/l/public/s1463770.jpg,HaroldAbelson,,编程,TheMITPress,"Structure and Interpretation of Computer Programs has had a dramatic impact on computer science curricula over the past decade. This long-awaited revision contains changes throughout the text.There are new implementations of most of the major programming systems in the book, including the interpreters and compilers, and the authors have incorporated many small changes that ref...",2021-12-21 15:36:09,2021-12-21 15:36:09
9787111196266,C程序设计语言,https://img1.doubanio.com/view/subject/l/public/s5779827.jpg,BrianW.Kernighan,,编程,机械工业出版社,"在计算机发展的历史上，没有哪一种程序设计语言像C语言这样应用广泛。本书是C语言的设计者之一Dennis M.Ritchie和著名计算机科学家Brian W.Kernighan合著的一本介绍C语言的权威经典著作。我们现在见到的大量论述C语言程序设计的教材和专著均以此书为蓝本。本书第1版中介绍的C语言成为后来广泛使用的C语言版本——标准C的基础。人们熟知的“hello,World""程序就是由本书首次引入的。现在，这一程序已经成为众多程序设计语言入门的第一课。第2版根据1987年制定的ANSIC标准做了适当的修订，引入了最新的语言形式，并增加了新的示例。通过简洁的描述、典型的示例，作者全面、系统、准确地讲述了C语言的各个特性以及程序设计的基本方法。对于计算机从业人员来说，本书是一本必读的程序设计语言方面的参考书。",2021-12-21 15:36:15,2021-12-21 15:36:15
9787302024125,C程序设计语言,https://img2.doubanio.com/view/subject/l/public/s1440201.jpg,BrianW.Kernighan,,编程,清华大学出版社,C程序设计语言于1978年出了第一版，此后，计算机世界经历了一场革命，C语言也有了合理的变化。1988年美国国家标准学会就C语言的主义制订出了ANSI C标准。本书第二版就是按这个标准来描述C语言的。全书八章，分别分：1.指导性绪论；2.数据类型、运算符与表达式；3.控制流；4.函数与结构；5.指针与数组；6.结构；7.输入输出；8.UNIX系统界面。书后附录为：A.参考手册；B.标准库；C.语言,2021-12-21 15:36:20,2021-12-21 15:36:20
9780990582908,Game Programming Patterns,https://img2.doubanio.com/view/subject/l/public/s27850483.jpg,RobertNystrom,,编程,GeneverBenning,"The biggest challenge facing many game programmers is completing their game. Most game projects fizzle out, overwhelmed by the complexity of their own code. Game Programming Patterns tackles that exact problem. Based on years of experience in shipped AAA titles, this book collects proven patterns to untangle and optimize your game, organized as independent recipes so you can pi...",2021-12-21 15:36:25,2021-12-21 15:36:25
9780131103627,The  C Programming Language,https://img2.doubanio.com/view/subject/l/public/s29586132.jpg,BrianW.Kernighan,,编程,PrenticeHall,"Presents a complete guide to ANSI standard C language programming. Written by the developers of C, this new version helps readers keep up with the finalized ANSI standard for C while showing how to take advantage of C's rich set of operators, economy of expression, improved control flow, and data structures. This 2nd edition has been completely rewritten with additional example...",2021-12-21 15:36:31,2021-12-21 15:36:31
