book_isbn,book_title,book_image,book_author,book_translator,book_category,book_publisher,book_summary,create_time,update_time
9787301302552,“新诗集”与中国新诗的发生（增订本）,https://img1.doubanio.com/view/subject/l/public/s32332458.jpg,姜涛,,诗歌,北京大学出版社,本书以早期“新诗集”——《尝试集》《女神》《草儿》《冬夜》《蕙的风》等为讨论对象，通过考察“新诗集”的出版、接受、编撰及历史评价等环节，重新审视“新诗的发生”这一历史命题。上编主要从“文学社会学”的视角出发，讨论“五四”前后一个自足新诗发生空间的形成，涉及报刊传播的影响、新的读者群的召唤、新书局的支持、阅读程式的养成等诸多方面；下编则关注在“新诗集”的成书、接受和历史定位过程中，新诗历史形象及合法性的塑造与追寻，从而对新诗发生的线性历史想象提出自己的质询。本书初版于2005年，以博士论文《“新诗集”与新诗的发生研究》为基础，该论文2004年曾被评为百篇“全国优秀博士论文”，出版后也曾获得第三届“王瑶学术奖优秀青年著作奖”。此次修订，除了文字的疏通、材料的补充外，又特别增加了附录的四篇文章，希望在勾勒新诗第一个十年发展概貌的基础上，以个案讨论的方式，...,2021-12-26 10:55:35,2021-12-26 10:55:35
9780393924282,Paradise Lost,https://img1.doubanio.com/view/subject/l/public/s28291367.jpg,JohnMilton,,诗歌,W.W.Norton&amp;Company,"This Norton Critical Edition is designed to make  Paradise Lost  accessible for student readers, providing invaluable contextual and biographical information and the tools students need to think critically about this landmark epic. Gordon Teskey's freshly edited text of Milton's masterpiece is accompanied by a new introduction and substantial explanatory annotations. Spelling a...",2021-12-26 10:55:43,2021-12-26 10:55:43
9787101006414,李太白全集（全三册）,https://img1.doubanio.com/view/subject/l/public/s3535948.jpg,[清]王琦注,,诗歌,中华书局,本书是清人王琦江合前代杨齐贤、萧士梣、胡震亨三家注文，并加以补充订正而成的李白诗文集注本。,2021-12-26 10:55:51,2021-12-26 10:55:51
9787532601219,彩图古诗词典,https://img2.doubanio.com/view/subject/l/public/s1146712.jpg,朱庆坪,,诗歌,,,2021-12-26 10:55:57,2021-12-26 10:55:57
9787515349978,贺拉斯诗全集,https://img2.doubanio.com/view/subject/l/public/s29712813.jpg,[古罗马]贺拉斯,李永毅,诗歌,中国青年出版社,本书是第七届鲁迅文学奖翻译奖获奖作品，翻译了贺拉斯的全部诗歌作品（四部《颂诗集》、《长短句集》、《世纪之歌》、两部《闲谈集》和两部《书信集》），总量近八千行，以拉中对照的方式呈现给读者。为了更准确地理解贺拉斯的原作，在翻译之前，译者阅读了数百篇国外学术界的论文和一些专著，并参考了十余部国外注本和多个英译 本。这些前期准备工作的笔记和翻译过程中的想法都浓缩在本书七十万字的逐行详注中。为方便读者全面了解贺拉斯，译者在引言部分介绍了贺拉斯的生平、作品、格律、主题与艺术风格，在附录部分添加了版本简介和参考文献。由于国内拉丁文学习资料较少，译者还在注释中解释了贺拉斯作品中出现的许多词语，并对所有的语法难点都做了分析。所以，除了用于文学研究外，本书也可作为拉丁语学习的阅读材料。,2021-12-26 10:56:03,2021-12-26 10:56:03
9789866377556,周夢蝶詩文集,https://img1.doubanio.com/view/subject/l/public/s4094917.jpg,周夢蝶,,诗歌,印刻文學生活雜誌出版有限公司,峨眉街上的先知　騎樓下的傳奇以哲思凝鑄悲苦的詩人－－周夢蝶誌賀詩人九十華誕詩文集在台灣的現代詩壇中，詩人周夢蝶是一個極具指標性與啟蒙意味的人物，至今近九十高齡仍創作不輟。名詩人余光中先生稱其為「對現實生活的要求，在芸芸作家裡屬他最低……一諾千金，不辭辛苦為朋友奔走，又不愧於儒家……更是娑婆世界最不自由的人，是常懷千歲之憂的大傷心人……」；1980年美國Orientations雜誌記者來台專訪詩人，以古希臘時期代神發布神諭的Oracle為喻，撰文者稱許他為「峨眉街上的先知」（Oracle on Amoy Street）；詩友們更咸讚周氏為「淡泊而堅卓的狷者」。周氏其人其作，都堪稱現代詩壇的瑰寶－－不論在生活或創作上，都持守其孤獨、潔淨的靈魂；文字純淨、簡約之餘更帶有諧趣，與紛陳人世進行深刻對話。他的詩作風格常從自我靈魂為起點，並引禪入詩，觀照生命...,2021-12-26 10:56:10,2021-12-26 10:56:10
9787101080315,李长吉歌诗编年笺注,https://img9.doubanio.com/view/subject/l/public/s8986134.jpg,[唐]李贺,吴企明笺注,诗歌,中华书局,李贺（790～816），唐代著名诗人，汉族，河南福昌人。字长吉，世称李长吉、鬼才、诗鬼等，与李白、李商隐三人并称唐代“三李”。祖籍陇西，生于福昌县昌谷（今河南洛阳宜阳县）。一生愁苦多病，仅做过3年从九品微官奉礼郎，因病27岁卒。李贺是中唐浪漫主义诗人的代表，又是中唐到晚唐诗风转变期的重要人物。,2021-12-26 10:56:18,2021-12-26 10:56:18
9787559432995,人间一趟,https://img9.doubanio.com/view/subject/l/public/s33307025.jpg,海子,,诗歌,江苏凤凰文艺出版社,诗与远方，少年归来！海子母亲授权版本。10亿人的青春呐喊，30年不褪色的理想主义。选编组历时2年，对海子生平所有作品进行整理归纳，逐一挖掘创作背景，并调查采访了2000余名诗歌爱好者，最后精选出118首海子一生的精华之作，代表了海子创作的至高成就。全彩诵读本，可随身携带。“一个ONE”当红画师黄雷蕾手绘月历，炫彩装帧诠释少年感。阅读海子ZUI好的方式，就是将他的诗带在身上，路过你喜欢的每一个地方。特别设计“四季读诗”主题，以“一月至十二月”的时间轴记录海子的创作之路，真实地还原了一个热烈而纯粹的海子。高晓松、余秀华、白岩松、俞敏洪、柴静、汪峰、周云蓬等名人的挚爱之作，现代文艺青年的文学信仰，再次掀起全民读诗的文学浪潮。,2021-12-26 10:56:25,2021-12-26 10:56:25
9781853264542,The Collected Poems of W. B. Yeats,https://img1.doubanio.com/view/subject/l/public/s29610387.jpg,W.B.Yeats,,诗歌,WordsworthEditions,"W. B. Yeats was Romantic and Modernist, mystical dreamer and leader of the Irish Literary Revival, Nobel prizewinner, dramatist and, above all, poet. He began writing with the intention of putting his 'very self' into his poems. T. S. Eliot, one of many who proclaimed the Irishman's greatness, described him as 'one of those few whose history is the history of their own time, wh...",2021-12-26 10:56:32,2021-12-26 10:56:32
9780394443690,Sand and Foam,https://img3.doubanio.com/view/subject/l/public/s28908930.jpg,KahlilGibran,,诗歌,AlfredA.Knopf,"A book of aphorisms, poems, and parables by the author of ""The Prophet"" - a philosopher at his window commenting on the scene passing below.",2021-12-26 10:56:38,2021-12-26 10:56:38
